day,slot,timestamp,violation_type,asset,phase,value,limit,Vmax_pu,Vmin_pu,rho_AC,current_A,rating_A,gV_high,gV_low,gI
2025-02-03,66,2025-02-03T16:45:00+10:00,VOLTAGE_HIGH,idc_idc01_pcc.2,B,1.0559498473220106,1.05,1.0562269791751617,0.9665600248189756,1.0209179820572165,,,0.0059498473220105375,0.0,0.0
2025-02-03,66,2025-02-03T16:45:00+10:00,VOLTAGE_HIGH,idc_idc01_pcc.3,C,1.0559486121535913,1.05,1.0562269791751617,0.9665600248189756,1.0209179820572165,,,0.005948612153591215,0.0,0.0
2025-02-03,66,2025-02-03T16:45:00+10:00,VOLTAGE_HIGH,mess_idc01_pcc.1,A,1.0562209782049437,1.05,1.0562269791751617,0.9665600248189756,1.0209179820572165,,,0.006220978204943606,0.0,0.0
2025-02-03,66,2025-02-03T16:45:00+10:00,VOLTAGE_HIGH,mess_idc01_pcc.2,B,1.0562267420973053,1.05,1.0562269791751617,0.9665600248189756,1.0209179820572165,,,0.006226742097305227,0.0,0.0
2025-02-03,66,2025-02-03T16:45:00+10:00,VOLTAGE_HIGH,mess_idc01_pcc.3,C,1.0562255072518938,1.05,1.0562269791751617,0.9665600248189756,1.0209179820572165,,,0.006225507251893747,0.0,0.0
2025-02-03,66,2025-02-03T16:45:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,A,1.199758366930876,1.0,1.0562269791751617,0.9665600248189756,1.0209179820572165,832.5490578245758,693.9306120067617,0.0,0.0,0.199758366930876
2025-02-03,66,2025-02-03T16:45:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,A,1.0563540527764352,1.0,1.0562269791751617,0.9665600248189756,1.0209179820572165,832.5490578245758,KVA_AUTHORITY,0.0,0.0,0.05635405277643524
2025-02-03,66,2025-02-03T16:45:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,B,1.0563540527764352,1.0,1.0562269791751617,0.9665600248189756,1.0209179820572165,652.0465044635348,KVA_AUTHORITY,0.0,0.0,0.05635405277643524
2025-02-03,66,2025-02-03T16:45:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,C,1.0299285298817753,1.0,1.0562269791751617,0.9665600248189756,1.0209179820572165,714.6989350640847,693.9306120067617,0.0,0.0,0.0299285298817753
2025-02-03,66,2025-02-03T16:45:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,C,1.0563540527764352,1.0,1.0562269791751617,0.9665600248189756,1.0209179820572165,714.6989350640847,KVA_AUTHORITY,0.0,0.0,0.05635405277643524
2025-02-03,66,2025-02-03T16:45:00+10:00,CURRENT_OVERLOAD,line.l3,A,1.0015441017803834,1.0,1.0562269791751617,0.9665600248189756,1.0209179820572165,768.1843260655542,767.0000000000001,0.0,0.0,0.0015441017803834445
2025-02-03,66,2025-02-03T16:45:00+10:00,CURRENT_OVERLOAD,line.l7,A,1.0040451520596594,1.0,1.0562269791751617,0.9665600248189756,1.0209179820572165,759.0581349571025,756.0,0.0,0.0,0.004045152059659385
2025-02-03,66,2025-02-03T16:45:00+10:00,CURRENT_OVERLOAD,line.l10,A,1.0209179820572165,1.0,1.0562269791751617,0.9665600248189756,1.0209179820572165,712.6007514759372,698.0,0.0,0.0,0.02091798205721651
2025-02-03,66,2025-02-03T16:45:00+10:00,CURRENT_OVERLOAD,line.sw2,A,1.0167001544539618,1.0,1.0562269791751617,0.9665600248189756,1.0209179820572165,424.98066456175604,418.0,0.0,0.0,0.01670015445396178
2025-02-03,66,2025-02-03T16:45:00+10:00,CURRENT_OVERLOAD,line.l116,A,1.0035280882056012,1.0,1.0562269791751617,0.9665600248189756,1.0209179820572165,419.47474086994134,418.0,0.0,0.0,0.003528088205601243
