day,label,case,source_ready,Stage1_solved,schedule_frozen,planning_voltage_complete,Fresh_complete,Fresh_convergence_count,exact_matched,status,reason
2025-03-13,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-14,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-15,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-16,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-17,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-18,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-19,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-20,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-21,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-22,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-23,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-24,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-25,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-26,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-27,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-28,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-29,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-30,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-31,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
