mess_id,origin,destination,departure_slot,connection_ready_slot,safe_energy_kwh,status
MESS01,STA01,IDC02,77,81,65.17570511255592,FEASIBLE
MESS01,STA01,IDC02,78,83,64.51667554714336,FEASIBLE
MESS01,STA01,IDC02,79,84,69.15697620914706,FEASIBLE
MESS01,STA01,IDC02,80,85,63.707132883280444,FEASIBLE
MESS01,STA01,IDC02,81,86,63.56943260667541,FEASIBLE
MESS01,STA01,IDC02,82,86,65.76275884723492,FEASIBLE
MESS01,STA01,IDC02,83,87,65.69664856628903,FEASIBLE
MESS01,STA01,IDC02,84,88,67.20762841756527,FEASIBLE
MESS01,STA01,IDC02,85,89,66.46860489297015,FEASIBLE
MESS01,STA01,IDC02,86,90,65.60439539279412,FEASIBLE
MESS01,STA01,IDC02,87,91,67.20731581730583,FEASIBLE
MESS01,STA01,IDC02,88,92,63.324798690247846,FEASIBLE
MESS01,STA01,IDC02,89,93,66.59031797808156,FEASIBLE
MESS01,STA01,IDC02,90,94,66.92499635336445,FEASIBLE
MESS01,STA01,IDC02,91,95,65.66513101825076,FEASIBLE
MESS01,STA01,IDC02,92,96,65.95812656300552,FEASIBLE
MESS01,STA01,IDC02,93,97,66.27081459845976,CONNECTION_READY_BEYOND_HORIZON
MESS01,STA01,IDC02,94,98,57.152778405912194,CONNECTION_READY_BEYOND_HORIZON
MESS01,STA01,IDC02,95,99,66.37013793435429,CONNECTION_READY_BEYOND_HORIZON
MESS01,STA01,IDC03,0,4,67.80006435318145,FEASIBLE
MESS01,STA01,IDC03,1,5,64.84206374498186,FEASIBLE
MESS01,STA01,IDC03,2,6,67.95851401101356,FEASIBLE
MESS01,STA01,IDC03,3,7,68.15355341615255,FEASIBLE
MESS01,STA01,IDC03,4,8,68.044261234045,FEASIBLE
MESS01,STA01,IDC03,5,9,68.35087233296545,FEASIBLE
MESS01,STA01,IDC03,6,10,68.47004916787358,FEASIBLE
MESS01,STA01,IDC03,7,11,67.83498147008173,FEASIBLE
MESS01,STA01,IDC03,8,12,68.02026541535649,FEASIBLE
MESS01,STA01,IDC03,9,13,68.47829881487468,FEASIBLE
MESS01,STA01,IDC03,10,14,67.7529004681647,FEASIBLE
MESS01,STA01,IDC03,11,15,67.83514031660748,FEASIBLE
MESS01,STA01,IDC03,12,16,68.1270597155002,FEASIBLE
MESS01,STA01,IDC03,13,17,68.39405577860005,FEASIBLE
MESS01,STA01,IDC03,14,18,68.6637329159989,FEASIBLE
MESS01,STA01,IDC03,15,19,68.07376816220594,FEASIBLE
MESS01,STA01,IDC03,16,20,67.73708547909536,FEASIBLE
MESS01,STA01,IDC03,17,21,67.36959857936952,FEASIBLE
MESS01,STA01,IDC03,18,22,67.5014219410907,FEASIBLE
MESS01,STA01,IDC03,19,23,66.82185130989495,FEASIBLE
MESS01,STA01,IDC03,20,25,62.49196937847472,FEASIBLE
MESS01,STA01,IDC03,21,26,62.478619937725384,FEASIBLE
MESS01,STA01,IDC03,22,27,62.9471878958337,FEASIBLE
MESS01,STA01,IDC03,23,28,60.35127301873942,FEASIBLE
MESS01,STA01,IDC03,24,29,61.804595049521886,FEASIBLE
MESS01,STA01,IDC03,25,30,61.46730978997549,FEASIBLE
MESS01,STA01,IDC03,26,31,63.588668956303984,FEASIBLE
MESS01,STA01,IDC03,27,32,63.963073133401444,FEASIBLE
MESS01,STA01,IDC03,28,33,63.32937920232658,FEASIBLE
MESS01,STA01,IDC03,29,34,62.87353107076668,FEASIBLE
MESS01,STA01,IDC03,30,35,63.123659171029715,FEASIBLE
MESS01,STA01,IDC03,31,36,62.91013577294495,FEASIBLE
MESS01,STA01,IDC03,32,37,63.30317099433286,FEASIBLE
MESS01,STA01,IDC03,33,38,62.716707112564166,FEASIBLE
MESS01,STA01,IDC03,34,39,62.733827802993815,FEASIBLE
MESS01,STA01,IDC03,35,40,62.86582505647334,FEASIBLE
MESS01,STA01,IDC03,36,41,64.7842607118532,FEASIBLE
MESS01,STA01,IDC03,37,42,61.32521283651947,FEASIBLE
MESS01,STA01,IDC03,38,43,63.42220152661096,FEASIBLE
MESS01,STA01,IDC03,39,44,63.04777003838681,FEASIBLE
MESS01,STA01,IDC03,40,45,63.12402613163821,FEASIBLE
MESS01,STA01,IDC03,41,46,61.12943273074548,FEASIBLE
MESS01,STA01,IDC03,42,47,63.46965264006963,FEASIBLE
MESS01,STA01,IDC03,43,48,61.709854455428946,FEASIBLE
MESS01,STA01,IDC03,44,49,62.15359963192959,FEASIBLE
MESS01,STA01,IDC03,45,50,64.21812982724063,FEASIBLE
MESS01,STA01,IDC03,46,51,63.3881852333609,FEASIBLE
MESS01,STA01,IDC03,47,52,64.1351191632352,FEASIBLE
MESS01,STA01,IDC03,48,53,64.36779134392829,FEASIBLE
MESS01,STA01,IDC03,49,54,64.84716642353438,FEASIBLE
MESS01,STA01,IDC03,50,55,64.94990998542323,FEASIBLE
MESS01,STA01,IDC03,51,55,67.70771408932508,FEASIBLE
