Fresh_effect_direction,Fresh_rho_delta,Planning_effect_direction,Planning_rho_delta,active_cell_count,active_sign_match_rate,cell_count,comparison,day,effect_MAE,effect_RMSE,fresh_max_abs_effect,fresh_mean_abs_effect,planning_max_abs_effect,planning_mean_abs_effect
1.0,2.460248285096611e-07,-1.0,-2.934376864827115e-07,22926,0.9308645206315973,25248,B1-B0,2025-04-11,3.6779031945713657e-07,2.3159865959212437e-06,0.004584975265271851,7.889443272880401e-05,0.004583487003481768,7.863904634866356e-05
1.0,0.02481264983762277,1.0,0.00013370889007546793,24481,0.8905681957436379,25248,B3-B2,2025-04-11,0.003320380194094306,0.021519103952756916,0.2468975435162756,0.00648248625975409,0.23693657453406014,0.0058103541830881395
1.0,6.401507671727202e-07,-1.0,-6.452997455053122e-06,23377,0.9670616417846601,25248,B1-B0,2025-04-12,2.0598502009607182e-07,9.324388240798528e-07,0.004141788983148709,8.253045357037868e-05,0.004140991317159282,8.243221236799024e-05
-1.0,-0.008286837143618109,1.0,0.004687894334799991,24408,0.9199442805637496,25248,B3-B2,2025-04-12,0.0034194016117503547,0.02245039076681758,0.27054043745730044,0.009142875145410866,0.2697246288157367,0.009438845536351586
-1.0,-1.991373157261833e-06,-1.0,-2.045424314922606e-06,23247,0.9587043489482514,25248,B1-B0,2025-04-13,2.3551146550822172e-07,1.4656982487197226e-06,0.004566283029835083,8.01711644879946e-05,0.004563359126026845,7.99815609793098e-05
1.0,0.00026362270354818307,1.0,0.0012386747374918405,24207,0.9107283017309042,25248,B3-B2,2025-04-13,0.0016808148891889613,0.015293586039970176,0.2438312741389762,0.007075219223365291,0.2381286639264406,0.0067847750247881575
-1.0,-7.818340341803065e-08,-1.0,-1.0478939926894526e-07,23056,0.9471287300485773,25248,B1-B0,2025-04-14,2.860308331225472e-07,1.9337560683686015e-06,0.0028825188720569273,4.879804961511534e-05,0.0028756428037896575,4.869163676471413e-05
1.0,4.8700951008284754e-05,1.0,9.145557326284415e-05,24252,0.9010803232723075,25248,B3-B2,2025-04-14,0.0023490762268259494,0.019936292046188946,0.2881675755824123,0.006780012401584391,0.28427571587593053,0.006344234920945872
-1.0,-0.0004452670211358978,-1.0,-0.00044128239669782854,23499,0.9699987233499298,25248,B1-B0,2025-04-15,4.741344748985304e-07,2.194975059554843e-06,0.004389297663259406,0.0001139374504124189,0.0043855930733617265,0.00011378460188329171
1.0,0.004089244300018557,1.0,0.0003310510156577795,24203,0.9231500227244557,25248,B3-B2,2025-04-15,0.002218695443190779,0.02066918691013404,0.2417810591543451,0.006124808436461265,0.23701827928050115,0.005840340090220506
-1.0,-1.139551380591186e-06,-1.0,-4.873736914157156e-06,23256,0.9625902992776058,25248,B1-B0,2025-04-16,3.797059982437418e-07,1.0343148641222263e-06,0.00424586341587907,0.00012427662249829755,0.00423760382930638,0.00012407351462747672
1.0,0.008122870163165596,1.0,0.002024093261116078,24332,0.9168173598553345,25248,B3-B2,2025-04-16,0.0020690923708572458,0.017074218916867955,0.24127736024271457,0.007290446142669189,0.23580413134321693,0.006786187209188751
1.0,6.193674585430742e-07,-1.0,-3.150974248189442e-08,22991,0.9469357574703144,25248,B1-B0,2025-04-17,2.4261189252247624e-07,7.860290912768068e-07,0.0035078260618000012,7.450285662541561e-05,0.003491193132712178,7.434590833267521e-05
1.0,0.0027298944609109865,-1.0,-0.0004320134682754828,24166,0.9000662087229993,25248,B3-B2,2025-04-17,0.0018266463529270564,0.015904125761056338,0.23522112794529035,0.007031036079763163,0.22661921669614973,0.006343544303931706
1.0,1.7040819062508206e-06,-1.0,-2.6745479719814114e-08,22983,0.9354305356132794,25248,B1-B0,2025-04-18,2.5639217713090666e-07,1.8587717014840055e-06,0.004730590082343222,6.887569298229619e-05,0.004729739850359516,6.871976249189843e-05
-1.0,-0.03051601339837473,1.0,0.01518227504663272,24484,0.9239503349125959,25248,B3-B2,2025-04-18,0.00306886472197712,0.017279435416759054,0.2827061982800461,0.007336400982476998,0.295544712827795,0.0072221143938373655
-1.0,-6.223056733034582e-06,-1.0,-6.207135667568586e-06,23298,0.96819469482359,25248,B1-B0,2025-04-19,1.489994694672782e-07,4.5459098980524355e-07,0.0047674451422679565,8.353290978078712e-05,0.004767241759324803,8.345316275406088e-05
-1.0,-0.05026956706155028,-1.0,-0.0014508223308723478,24368,0.9210439921208142,25248,B3-B2,2025-04-19,0.0021572273988352546,0.019818689764393584,0.26153548857115727,0.006707891688746295,0.25520593832631133,0.006379006217707256
-1.0,-9.248877993506266e-05,-1.0,-9.221974124573595e-05,23344,0.9662868403015764,25248,B1-B0,2025-04-20,1.0471410072445031e-07,3.018724338314292e-07,0.004583592893420196,6.379288885127854e-05,0.00458419977829036,6.374769273614404e-05
1.0,0.008711084145537062,1.0,0.012016266395009245,24364,0.9333032342800853,25248,B3-B2,2025-04-20,0.002239528855633449,0.019010689999314424,0.3711453647876454,0.0065234453074357835,0.3878953833108023,0.0064965451794479715
