day,case,anchor_case,slot,DA_authorized_nodeh,source_available_nodeh,rack_feasible_nodeh,S_PLAN_nodeh,S_RESOURCE_nodeh,nominal_current_blocked_nodeh,candidate_destination_sites_racks,planning_current_leverage,preApril_electrical_sensitivity,anchor_planning_loading_pu,candidate_planning_loading_pu,critical_branch_phase,frontier_eligible,analysis_status,April_rows_used
2025-01-01,B1,B0,94,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B1,B0,95,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B3,B2,0,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B3,B2,1,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B3,B2,2,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B3,B2,3,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B3,B2,4,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B3,B2,5,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B3,B2,6,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B3,B2,7,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B3,B2,8,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B3,B2,9,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B3,B2,10,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
2025-01-01,B3,B2,11,,,,,,,,,,,,,NOT_COMPUTABLE,NOT_COMPUTABLE_MISSING_FROZEN_JANMAR_STAGE2_AUTHORITY,0
