date,jobs_1d,requested_GPU_1d,requested_GPU_h_1d,requested_nodes_1d,unique_accounts_1d,full_requested_GPU_h_1d,jobs_7d,requested_GPU_7d,requested_GPU_h_7d,requested_nodes_7d,unique_accounts_7d,full_requested_GPU_h_7d,jobs_28d,requested_GPU_28d,requested_GPU_h_28d,requested_nodes_28d,unique_accounts_28d,full_requested_GPU_h_28d,account_entropy_28d,full_share_7d,full_share_28d,dow_sin,dow_cos,month_sin,month_cos,holiday
2024-11-14,353.0,1151.0,13166.416666666668,459.0,20.0,2742.6666666666665,2238.0,9709.0,111328.21666666665,3403.0,38.0,46079.33333333333,20087.0,68977.0,646800.9833333334,28571.0,57.0,165373.46666666667,2.070065515321241,0.4139052498370809,0.2556790588264154,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.0
2024-11-15,483.0,2347.0,29509.833333333336,816.0,24.0,4233.333333333334,2566.0,11131.0,133299.71666666667,3954.0,39.0,44167.33333333333,19858.0,69298.0,641872.2333333333,28408.0,57.0,167793.46666666667,2.0108476275083587,0.33133853872907704,0.2614125646085226,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.0
2024-11-16,180.0,1068.0,7304.933333333333,305.0,14.0,3626.9333333333334,2555.0,11252.0,128338.15,3974.0,38.0,39194.26666666666,19500.0,69483.0,632919.9166666667,28134.0,57.0,165549.73333333334,2.025629942968618,0.30539840777404587,0.2615650558213065,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,0.0
2024-11-17,1075.0,4363.0,13213.2,1171.0,23.0,5194.933333333333,3383.0,12925.0,111630.68333333335,4391.0,38.0,35004.53333333333,20399.0,73480.0,636849.1166666667,29105.0,56.0,165512.6666666667,2.027481623386569,0.3135744787014203,0.2598930615354809,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,0.0
2024-11-18,167.0,768.0,6939.333333333334,237.0,15.0,2701.3333333333335,3431.0,12917.0,113099.71666666667,4415.0,39.0,35269.2,20404.0,72500.0,634427.45,28890.0,57.0,161006.0,2.02563665903095,0.31184163001881965,0.25378157896541204,0.0,1.0,-0.5000000000000004,0.8660254037844384,0.0
2024-11-19,200.0,691.0,9722.8,275.0,18.0,3610.6666666666665,3494.0,12581.0,112689.18333333333,4423.0,40.0,31148.533333333333,19859.0,69798.0,628042.3333333333,27858.0,58.0,162086.0,2.0513588438035293,0.2764110308723804,0.2580813289125415,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,0.0
2024-11-20,245.0,1389.0,10994.183333333332,411.0,24.0,6116.0,2703.0,11777.0,90850.69999999998,3674.0,42.0,28225.86666666667,19436.0,68613.0,611234.85,27272.0,59.0,155845.33333333334,2.0582985995842225,0.3106840857215924,0.254968009977398,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,0.0
2024-11-21,344.0,1288.0,13448.833333333334,459.0,27.0,4517.333333333334,2694.0,11914.0,91133.11666666667,3674.0,44.0,30000.533333333336,18818.0,64904.0,594254.0166666667,25948.0,57.0,154924.0,2.1132503104134464,0.32919463780729546,0.2607033282989168,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.0
2024-11-22,908.0,1986.0,33875.5,1046.0,21.0,5804.0,3119.0,11553.0,95498.78333333333,3904.0,45.0,31571.2,19503.0,66053.0,622370.5166666667,26661.0,61.0,160073.0,2.1274689999300787,0.3305926934147678,0.25719888027043697,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.0
2024-11-23,341.0,3446.0,18356.566666666666,986.0,23.0,4090.0,3280.0,13931.0,106550.41666666666,4585.0,45.0,32034.266666666666,18706.0,64384.0,616429.5,25795.0,61.0,151072.80000000002,2.133400502262758,0.3006489103358739,0.2450771742754038,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,0.0
