fold_id,seed,date,actual_GPU_h,mean_GPU_h,Q50_GPU_h,Q90_GPU_h,CRPS,alpha,selected_config
3,20260901,2025-01-31,1217.601111111111,1690.4286596599563,553.5209722222223,553.5209722222223,986.4827812328374,6.23417534100158e-07,F2
3,20260902,2025-01-01,2538.885,7555.209960312512,1372.7012783422972,14165.88788471446,1598.8524965479555,0.6549159061695649,F2
3,20260902,2025-01-02,361.5311111111111,4532.219974392716,1453.5070833333334,9442.169405504914,862.114019492421,0.6274069675155007,F2
3,20260902,2025-01-03,1410.8011111111111,3763.887794577964,1025.9175289336629,4959.022329158906,620.7460774715541,0.49429923999003045,F2
3,20260902,2025-01-04,332.95,4533.017819782413,977.500590046342,5467.326387255047,537.8479951180952,0.35994395444167987,F2
3,20260902,2025-01-05,2.9344444444444444,6310.270465013174,984.0396769158464,10062.182797377625,804.4277730830399,0.05024213049201575,F2
3,20260902,2025-01-06,0.7022222222222222,5326.483508089561,1011.9818674177724,8003.8087467441455,765.8967381776802,0.01871748685812038,F2
3,20260902,2025-01-07,8552.032777777778,3182.4512167310627,1222.3737500000002,4959.022329158906,5460.521190499121,0.718010469602892,F2
3,20260902,2025-01-08,25097.630555555555,4462.969920978823,1364.8187500000001,8475.892051381132,19518.54798635626,0.5024604429276599,F2
3,20260902,2025-01-09,4180.303888888889,3462.765822653799,1812.3484722222224,6446.626262581498,1813.57404435125,0.7064101530006711,F2
3,20260902,2025-01-10,4239.068333333334,3834.2991421499637,1812.3484722222224,8475.892051381132,2054.268636013801,0.7211057785883671,F2
3,20260902,2025-01-11,2867.1608333333334,5405.829244387337,1071.144900907046,8475.892051381132,1424.3540664250868,0.07356120529908952,F2
3,20260902,2025-01-12,1196.9533333333334,4253.211108088466,1116.207212589342,6348.325625543219,655.0254284304888,0.33019466294968547,F2
3,20260902,2025-01-13,2625.076111111111,3241.7476127719374,1204.9525543347586,10736.817329158906,1322.4199552042755,0.726631759075239,F2
3,20260902,2025-01-14,3371.748611111111,3977.565321832499,1230.0821246303196,4959.022329158906,1602.815992348183,0.5652134160983692,F2
3,20260902,2025-01-15,5120.106666666667,4725.416455454091,1364.8187500000001,8475.892051381132,2506.066588506611,0.3736475960936445,F2
3,20260902,2025-01-16,1552.3119444444444,3732.2902302404864,1812.3484722222224,8440.788333662627,627.0254715788928,0.6947112066178495,F2
3,20260902,2025-01-17,1078.0766666666666,4158.460718084718,1364.8187500000001,6509.831088937115,633.5136210605874,0.4990203602842974,F2
3,20260902,2025-01-18,882.2744444444444,3506.8742376187265,933.5704166666667,10736.817329158906,508.3719522570418,0.6388590456440388,F2
3,20260902,2025-01-19,13419.589722222225,3438.3131020998117,1036.7499438719606,10736.817329158906,9018.422078508731,0.6862004965439509,F2
3,20260902,2025-01-20,5296.009722222222,4813.32162482054,1006.6938186236364,10029.405793089043,2822.316608484947,0.33942500514697277,F2
3,20260902,2025-01-21,2228.683611111111,5253.4709815175065,1084.4806787666819,9849.804461038268,1123.6635341205792,0.30320286093741705,F2
3,20260902,2025-01-22,5470.154444444444,2789.158709889971,1364.8187500000001,4126.128732521909,2846.67378448268,0.7871225705676108,F2
3,20260902,2025-01-23,2366.793333333333,4023.920126374273,1453.5070833333334,8475.892051381132,996.5465450823513,0.5591866162870267,F2
3,20260902,2025-01-24,15893.229166666666,3809.300399518387,1453.5070833333334,8475.892051381132,11121.022125047151,0.5560330693863356,F2
3,20260902,2025-01-25,1319.206111111111,4063.6699007529073,1344.7807202062527,8475.892051381132,711.8464825639267,0.5793807825843852,F2
3,20260902,2025-01-26,1846.6297222222224,5055.9749767195135,1242.8920982612672,9646.691757885585,923.7440507184747,0.4475565989247535,F2
3,20260902,2025-01-27,1.56,5225.453092282331,1069.267726811346,7172.384478917649,771.8271570537136,0.12577723495098914,F2
3,20260902,2025-01-28,255.0663888888889,3871.2246784346116,1453.5070833333334,6424.215726840515,714.9779929872489,0.5732725804179793,F2
3,20260902,2025-01-29,420.6133333333333,4316.361206697937,1084.6790139304508,8554.798563741235,609.1571070966957,0.4180184267594869,F2
3,20260902,2025-01-30,15001.173888888889,2903.405193552651,748.6812361030435,2852.04316249224,11552.233542495618,0.5802068696560393,F2
3,20260902,2025-01-31,1217.601111111111,1549.3379449939202,553.5209722222223,553.5209722222223,979.1536216002103,6.583342364730988e-06,F2
3,20260903,2025-01-01,2538.885,7755.928488179341,1364.8187500000001,14165.88788471446,1612.7132321545405,0.6652270930102977,F2
3,20260903,2025-01-02,361.5311111111111,4883.7237263598945,1812.3484722222224,11665.939814736359,973.111277562361,0.6773866353987397,F2
3,20260903,2025-01-03,1410.8011111111111,4061.9733796337523,1020.7553900026957,5493.944053660174,676.2308598368422,0.3559958760404465,F2
3,20260903,2025-01-04,332.95,3361.547576844407,973.7579969441028,5325.234829158906,463.4727897685857,0.5285942752763981,F2
3,20260903,2025-01-05,2.9344444444444444,3534.1806620523685,1080.4710903092077,5325.234829158906,596.1652245330547,0.5659173143795324,F2
3,20260903,2025-01-06,0.7022222222222222,3620.143767780021,1222.3737500000002,8475.892051381132,716.1125192592276,0.642686912722452,F2
3,20260903,2025-01-07,8552.032777777778,3242.467540520181,1222.3737500000002,4959.022329158906,5475.244921325713,0.7321187415960018,F2
3,20260903,2025-01-08,25097.630555555555,3628.2927452652125,1453.5070833333334,8475.892051381132,19666.153976885813,0.6397400590612843,F2
3,20260903,2025-01-09,4180.303888888889,3774.9121373498474,1812.3484722222224,6578.4608110828285,1812.853468354724,0.6472843779242251,F2
3,20260903,2025-01-10,4239.068333333334,3898.900677640523,1812.3484722222224,8475.892051381132,2025.5700136582745,0.7752927717999575,F2
3,20260903,2025-01-11,2867.1608333333334,5631.979442513194,945.6769934171632,8615.168200615086,1489.7511385911275,0.010454532564232275,F2
3,20260903,2025-01-12,1196.9533333333334,3800.2865021746725,1216.5188356698116,5325.234829158906,594.4296587751146,0.49201275706249603,F2
3,20260903,2025-01-13,2625.076111111111,5347.091149511169,956.4908000527244,8503.113808447672,1345.4553288629604,0.08549946448166937,F2
3,20260903,2025-01-14,3371.748611111111,3264.2126934516546,1453.5070833333334,4959.022329158906,1572.2036912338071,0.6993119008854549,F2
3,20260903,2025-01-15,5120.106666666667,3684.065328022324,1812.3484722222224,8475.892051381132,2262.7126505083093,0.6592008149512448,F2
3,20260903,2025-01-16,1552.3119444444444,3920.05195021673,1538.6601014238033,6800.76606881431,650.5101011210318,0.5828934656887125,F2
3,20260903,2025-01-17,1078.0766666666666,3650.5193318873403,1453.5070833333334,5872.478212928823,612.4530211797655,0.6349284246824631,F2
3,20260903,2025-01-18,882.2744444444444,4614.010150439906,949.9927279014049,10736.817329158906,574.8878081378325,0.4783002341710384,F2
3,20260903,2025-01-19,13419.589722222225,3369.6136481540425,1221.4993696347588,10736.817329158906,9024.075675570859,0.7617883329827485,F2
3,20260903,2025-01-20,5296.009722222222,3945.658343500068,1031.6918713648379,10736.817329158906,2703.098876244091,0.6661557152731923,F2
3,20260903,2025-01-21,2228.683611111111,3990.9072670537753,1255.9561783150743,9365.442397649294,1081.8532008200664,0.6015263935851095,F2
3,20260903,2025-01-22,5470.154444444444,4729.403889788711,1042.536550552293,6213.725712743688,2929.103220316505,0.24097736271018644,F2
3,20260903,2025-01-23,2366.793333333333,4149.880312018311,1374.8505181317055,7865.255801267953,994.9160521306026,0.44615614760646377,F2
3,20260903,2025-01-24,15893.229166666666,3973.468241986052,1453.5070833333334,8475.892051381132,11216.305481291962,0.5550021136078057,F2
3,20260903,2025-01-25,1319.206111111111,5950.027717785442,977.668706658685,8706.182953705977,833.2480800764124,0.05042179401717004,F2
3,20260903,2025-01-26,1846.6297222222224,4263.516559391634,1364.8187500000001,8735.980691544839,852.8109755096975,0.5166142947952362,F2
3,20260903,2025-01-27,1.56,5351.314977468715,1781.5863185043743,2852.04316249224,1110.5740615879695,0.6135776407179587,F2
3,20260903,2025-01-28,255.0663888888889,3605.299938139032,1453.5070833333334,7156.105921890279,758.9622716571703,0.6695667715624236,F2
3,20260903,2025-01-29,420.6133333333333,5859.649908052804,1036.580151367731,9007.078002435994,698.5219138507937,0.08843934175915882,F2
3,20260903,2025-01-30,15001.173888888889,5415.252591483219,875.9238960726784,6987.2197004195,10781.360760414103,0.12561873312182392,F2
3,20260903,2025-01-31,1217.601111111111,1262.0662886888913,553.5209722222223,553.5209722222223,993.6898532756502,0.0004096412017621484,F2
4,20260901,2025-02-01,1364.558888888889,1600.24148566352,1208.9422222222224,14567.833750000002,434.21549397536455,1.0,F2
4,20260901,2025-02-02,631.2508333333333,1735.1250558132597,1235.9850000000001,15448.872083333335,518.0046984812785,1.0,F2
4,20260901,2025-02-03,11458.744166666667,2738.2132813856338,1235.9850000000001,15448.872083333335,8071.880977597931,1.0,F2
4,20260901,2025-02-04,4060.838888888889,4238.7044931369355,2664.1077777777778,18880.798194444447,1094.9306574009188,1.0,F2
4,20260901,2025-02-05,2789.4866666666667,4890.319726494683,2906.1925,21559.63069444445,912.8595826529954,1.0,F2
4,20260901,2025-02-06,3785.293611111111,3786.825509575738,2799.616388888889,15935.781805555558,900.9646295775972,1.0,F2
4,20260901,2025-02-07,233.4488888888889,3109.8391446940104,1591.343611111111,15448.872083333335,1125.762087348103,1.0,F2
4,20260901,2025-02-08,903.3786111111112,2479.2201691351993,1297.8591666666666,14567.833750000002,507.1180336504176,1.0,F2
4,20260901,2025-02-09,0.9844444444444445,1640.3806506347655,1235.9850000000001,14509.069305555557,795.8812569763261,1.0,F2
4,20260901,2025-02-10,0.6422222222222222,3987.960847235786,1591.343611111111,18880.798194444447,1356.2094704012575,1.0,F2
4,20260901,2025-02-11,3.945555555555556,4324.803770887586,2664.1077777777778,18880.798194444447,1647.5229379997318,1.0,F2
4,20260901,2025-02-12,3.672222222222222,3950.5110310194227,2215.014166666667,15935.781805555558,1605.1364434372222,1.0,F2
4,20260901,2025-02-13,2978.185833333333,3746.9201327853734,2215.014166666667,15935.781805555558,698.0377544916664,1.0,F2
4,20260901,2025-02-14,568.8058333333333,3154.4831344943577,1591.343611111111,15448.872083333335,953.7470667394996,1.0,F2
4,20260901,2025-02-15,1.1677777777777778,2029.0650472683376,1300.822222222222,14567.833750000002,977.6181820855702,1.0,F2
4,20260901,2025-02-16,1.1766666666666667,2194.59317328559,1235.9850000000001,14567.833750000002,970.4200932767988,1.0,F2
4,20260901,2025-02-17,1.221111111111111,2898.978645562066,1591.343611111111,15448.872083333335,1112.9309404299659,1.0,F2
4,20260901,2025-02-18,257.63,3548.79419921875,1952.0730555555556,18880.798194444447,1159.594937930869,1.0,F2
4,20260901,2025-02-19,1826.8416666666667,4962.06537367079,2906.1925,21559.63069444445,1046.797289071249,1.0,F2
4,20260901,2025-02-20,0.98,3929.498435940213,2799.616388888889,15935.781805555558,1850.6961848168075,1.0,F2
4,20260901,2025-02-21,2.19,2636.008120727539,1300.822222222222,14567.833750000002,1064.6327499564986,1.0,F2
4,20260901,2025-02-22,1667.0755555555556,2699.834529079861,1300.822222222222,14567.833750000002,522.9968459557492,1.0,F2
4,20260901,2025-02-23,3582.143333333333,1594.2388972303602,1171.5980555555557,14509.069305555557,1384.9125886831512,1.0,F2
4,20260901,2025-02-24,1.4177777777777778,2675.7231558566623,1396.185,14149.103194444448,920.4710192934842,1.0,F2
4,20260901,2025-02-25,0.8833333333333333,3621.84933227539,1396.185,18880.798194444447,1107.6608771285073,1.0,F2
4,20260901,2025-02-26,186.4813888888889,3588.4695721435546,420.1430555555555,27249.62652777778,779.3277711810833,1.0,F2
4,20260901,2025-02-27,15302.827222222222,3194.2738723415805,1595.8633333333332,14567.833750000002,10923.156623796789,1.0,F2
4,20260901,2025-02-28,1116.9002777777778,2273.874915635851,1644.426111111111,14567.833750000002,537.9589179607892,1.0,F2
4,20260902,2025-02-01,1364.558888888889,1589.5134637451172,1208.9422222222224,14567.833750000002,425.53114281788453,1.0,F2
4,20260902,2025-02-02,631.2508333333333,1710.7037862141929,1235.9850000000001,15448.872083333335,505.4864911291003,1.0,F2
4,20260902,2025-02-03,11458.744166666667,2610.614278225369,1235.9850000000001,15448.872083333335,8211.642772988394,1.0,F2
4,20260902,2025-02-04,4060.838888888889,4226.2784233940965,2664.1077777777778,18880.798194444447,1095.9629915045043,1.0,F2
4,20260902,2025-02-05,2789.4866666666667,4752.350485975478,2906.1925,21559.63069444445,883.3796020777681,1.0,F2
4,20260902,2025-02-06,3785.293611111111,3760.5732814534513,1748.4824999999996,15935.781805555558,918.1627517002,1.0,F2
4,20260902,2025-02-07,233.4488888888889,3134.794575941298,1591.343611111111,15448.872083333335,1130.038494342847,1.0,F2
4,20260902,2025-02-08,903.3786111111112,2654.0830033365887,1300.822222222222,14567.833750000002,560.7727422135738,1.0,F2
4,20260902,2025-02-09,0.9844444444444445,1627.022767944336,1235.9850000000001,14509.069305555557,787.4722396844459,1.0,F2
4,20260902,2025-02-10,0.6422222222222222,3800.8136092122395,1591.343611111111,18880.798194444447,1322.0585676285955,1.0,F2
4,20260902,2025-02-11,3.945555555555556,4489.686059705946,2664.1077777777778,27249.62652777778,1669.4475246417514,1.0,F2
4,20260902,2025-02-12,3.672222222222222,4122.7387193467885,2215.014166666667,15935.781805555558,1687.1597198409177,1.0,F2
4,20260902,2025-02-13,2978.185833333333,3756.6191489664716,2215.014166666667,15935.781805555558,705.0557422326506,1.0,F2
4,20260902,2025-02-14,568.8058333333333,3016.0579576958553,1573.4016666666666,15448.872083333335,894.0177272831233,1.0,F2
4,20260902,2025-02-15,1.1677777777777778,1924.9322164577907,1297.8591666666666,14567.833750000002,914.3590408154164,1.0,F2
4,20260902,2025-02-16,1.1766666666666667,2210.174407145182,1449.8327777777777,14567.833750000002,963.1818359369697,1.0,F2
4,20260902,2025-02-17,1.221111111111111,3138.153058268229,1591.343611111111,15448.872083333335,1191.615599230793,1.0,F2
4,20260902,2025-02-18,257.63,3201.9020671251087,1591.343611111111,15935.781805555558,1082.901609168268,1.0,F2
4,20260902,2025-02-19,1826.8416666666667,4911.3965266248915,2906.1925,21559.63069444445,1008.0383395469353,1.0,F2
4,20260902,2025-02-20,0.98,3853.580772094727,2799.616388888889,15935.781805555558,1839.3521367288135,1.0,F2
4,20260902,2025-02-21,2.19,2906.381233859592,1591.343611111111,15448.872083333335,1172.8567889715907,1.0,F2
4,20260902,2025-02-22,1667.0755555555556,2597.258654513889,1297.8591666666666,14567.833750000002,514.2342543833784,1.0,F2
4,20260902,2025-02-23,3582.143333333333,1600.6089640977648,1171.5980555555557,14509.069305555557,1378.718897839933,1.0,F2
4,20260902,2025-02-24,1.4177777777777778,2748.656604410807,1396.185,14149.103194444448,938.078665897747,1.0,F2
4,20260902,2025-02-25,0.8833333333333333,3766.4674464246964,1396.185,27249.62652777778,1172.0823293653793,1.0,F2
4,20260902,2025-02-26,186.4813888888889,3597.298959757487,420.1430555555555,27249.62652777778,774.6553836753797,1.0,F2
4,20260902,2025-02-27,15302.827222222222,3049.277768215604,1595.8633333333332,14567.833750000002,11121.635083925477,1.0,F2
4,20260902,2025-02-28,1116.9002777777778,2202.8780217149524,1644.426111111111,14567.833750000002,528.0745981698396,1.0,F2
4,20260903,2025-02-01,1364.558888888889,1584.182525092231,1208.9422222222224,14567.833750000002,436.6597644117145,1.0,F2
4,20260903,2025-02-02,631.2508333333333,1782.1792953830295,1235.9850000000001,15448.872083333335,542.7498354556162,1.0,F2
4,20260903,2025-02-03,11458.744166666667,2729.430695800781,1235.9850000000001,15448.872083333335,8088.505859679779,1.0,F2
4,20260903,2025-02-04,4060.838888888889,4203.02781399197,2664.1077777777778,18880.798194444447,1113.3550460907159,1.0,F2
4,20260903,2025-02-05,2789.4866666666667,4904.800900607639,2906.1925,21559.63069444445,917.8532757617695,1.0,F2
4,20260903,2025-02-06,3785.293611111111,3654.6708360460066,1748.4824999999996,15935.781805555558,950.0170766324804,1.0,F2
4,20260903,2025-02-07,233.4488888888889,3068.660759073893,1591.343611111111,15448.872083333335,1110.3602852993372,1.0,F2
4,20260903,2025-02-08,903.3786111111112,2672.9374087185333,1300.822222222222,14567.833750000002,550.8012841818393,1.0,F2
4,20260903,2025-02-09,0.9844444444444445,1603.9124539523655,1235.9850000000001,14509.069305555557,769.5077061286404,1.0,F2
4,20260903,2025-02-10,0.6422222222222222,3965.7305908881294,1591.343611111111,18880.798194444447,1378.9923549821806,1.0,F2
4,20260903,2025-02-11,3.945555555555556,4581.901034817165,2664.1077777777778,27249.62652777778,1750.7588780628475,1.0,F2
4,20260903,2025-02-12,3.672222222222222,4349.590553453234,2799.616388888889,27249.62652777778,1754.1432404058678,1.0,F2
4,20260903,2025-02-13,2978.185833333333,3671.563178168403,2215.014166666667,15935.781805555558,708.3488612659439,1.0,F2
4,20260903,2025-02-14,568.8058333333333,3105.3096927218967,1573.4016666666666,15448.872083333335,928.1767455400527,1.0,F2
4,20260903,2025-02-15,1.1677777777777778,2021.4171465386285,1300.822222222222,14567.833750000002,971.1610485398771,1.0,F2
4,20260903,2025-02-16,1.1766666666666667,2360.6516607666017,1449.8327777777777,15008.352916666669,1010.3027732781406,1.0,F2
4,20260903,2025-02-17,1.221111111111111,3056.5967266845705,1591.343611111111,15448.872083333335,1161.8688879456618,1.0,F2
4,20260903,2025-02-18,257.63,3449.7519890679255,1591.343611111111,18880.798194444447,1122.8011358226672,1.0,F2
4,20260903,2025-02-19,1826.8416666666667,5093.380198296441,2906.1925,27249.62652777778,1058.3670786857278,1.0,F2
4,20260903,2025-02-20,0.98,3788.5125870768234,2799.616388888889,15935.781805555558,1802.6006270679832,1.0,F2
4,20260903,2025-02-21,2.19,2675.4968673366975,1591.343611111111,14567.833750000002,1077.25638714653,1.0,F2
4,20260903,2025-02-22,1667.0755555555556,2630.890981038411,1297.8591666666666,14567.833750000002,515.781898486084,1.0,F2
4,20260903,2025-02-23,3582.143333333333,1540.0531690131293,1171.5980555555557,14509.069305555557,1443.358295142303,1.0,F2
