split,model,policy,cadence,variant,seed,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh,positive_coverage,burst_coverage
EXPOSED_EVALUATION,HURDLE,weighted,1,raw,20260924,2112,672290.9750000001,0.5274621212121212,0.8764204545454546,0.023579545454545436,201.23842752102036,149.4406241799628,298.8812483599256,1372.139309692905,1.3392364025219698,0.9375026543390438,900356.5468069877,0.8403669724770643,0.022727272727272728
EXPOSED_EVALUATION,LGBM,expanding,1,causal_calibrated,20260924,2112,672290.9750000001,0.44554924242424243,0.9232954545454546,0.023295454545454564,201.09839377457646,150.40746083617657,300.81492167235314,1376.8034093579215,2.120253428690609,1.6399780623133573,1425427.2448215028,0.9009174311926605,0.21212121212121213
EXPOSED_EVALUATION,LGBM,expanding,1,raw,20260924,2112,672290.9750000001,0.44554924242424243,0.8579545454545454,0.04204545454545461,199.9589542271614,150.40746083617657,300.81492167235314,1376.8034093579215,1.1606124561674678,0.7727216412600799,780269.2797539718,0.8165137614678899,0.022727272727272728
EXPOSED_EVALUATION,LGBM,fixed,28,causal_calibrated,20260924,2112,672290.9750000001,0.4171401515151515,0.915719696969697,0.015719696969696995,200.749832802996,153.41622525380333,306.83245050760667,1381.3020687670287,1.9954283765945793,1.5265405122224356,1341508.488843437,0.891131498470948,0.18181818181818182
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,2112,672290.9750000001,0.4171401515151515,0.8077651515151515,0.09223484848484853,210.62476437145781,153.41622525380333,306.83245050760667,1381.3020687670287,0.8540776431936804,0.5303469188680722,574188.6914683816,0.7516819571865443,0.0
EXPOSED_EVALUATION,LGBM,rolling180,1,causal_calibrated,20260924,2112,672290.9750000001,0.4772727272727273,0.9199810606060606,0.01998106060606053,201.83688303715397,149.54737243451564,299.0947448690313,1373.9112851485268,2.1552099558048505,1.67375889843002,1448928.2025177502,0.8966360856269113,0.21212121212121213
EXPOSED_EVALUATION,LGBM,rolling180,1,raw,20260924,2112,672290.9750000001,0.4772727272727273,0.8626893939393939,0.0373106060606061,200.4741221057362,149.54737243451564,299.0947448690313,1373.9112851485268,1.1672226536052517,0.7802892172369866,784713.255834362,0.8226299694189603,0.022727272727272728
EXPOSED_EVALUATION,LGBM,rolling90,1,causal_calibrated,20260924,2112,672290.9750000001,0.49053030303030304,0.9138257575757576,0.013825757575757547,204.58669847779564,149.17094208339884,298.3418841667977,1373.4791581088984,2.094478091412347,1.6277387571024222,1408098.7181917462,0.8886850152905199,0.17424242424242425
EXPOSED_EVALUATION,LGBM,rolling90,1,raw,20260924,2112,672290.9750000001,0.49053030303030304,0.8470643939393939,0.0529356060606061,205.68029201656518,149.17094208339884,298.3418841667977,1373.4791581088984,1.0964908455794382,0.7329857565421625,737160.899653175,0.8024464831804281,0.022727272727272728
EXPOSED_EVALUATION,LGBM,weighted,1,causal_calibrated,20260924,2112,672290.9750000001,0.4952651515151515,0.9190340909090909,0.019034090909090917,203.4763257710606,149.3277511275863,298.6555022551726,1373.3467582914743,2.156548046739207,1.6801134845034364,1449827.7889766474,0.8954128440366973,0.18181818181818182
EXPOSED_EVALUATION,LGBM,weighted,1,raw,20260924,2112,672290.9750000001,0.4952651515151515,0.8603219696969697,0.0396780303030303,203.0449639119903,149.3277511275863,298.6555022551726,1373.3467582914743,1.2093333630859782,0.8262651472813757,813023.9057691013,0.8195718654434251,0.007575757575757576
EXPOSED_EVALUATION,TFT,weighted,1,causal_calibrated,20260924,2112,672290.9750000001,0.4474431818181818,0.9114583333333334,0.011458333333333348,204.08416385267734,155.9311445032241,311.8622890064482,1384.3082713714389,2.166022643011693,1.6905501425852425,1456197.4745424083,0.8856269113149847,0.23484848484848486
EXPOSED_EVALUATION,TFT,weighted,1,causal_calibrated,20260925,2112,672290.9750000001,0.44696969696969696,0.9142992424242424,0.014299242424242409,204.99197766800606,155.9099308169415,311.819861633883,1384.3542787002186,2.1335998032658035,1.664221481081858,1434399.8919973755,0.8892966360856269,0.23484848484848486
EXPOSED_EVALUATION,TFT,weighted,1,causal_calibrated,20260926,2112,672290.9750000001,0.44886363636363635,0.9086174242424242,0.008617424242424176,205.01442559222323,155.83003892488904,311.6600778497781,1384.3146106898278,2.185685839616366,1.7111694338812418,1469416.8641593806,0.8819571865443425,0.19696969696969696
