case,mess_id,candidate_id,origin,destination,departure_slot,connection_ready_slot,travel_slots,q50_eta_seconds,safe_eta_seconds,safe_energy_kwh,route_link_ids,is_stay,objective,rho,binding_asset,binding_slot,Vmin_pu,Vmax_pu,post_arrival_sum_abs_p_kw_slots,post_arrival_sum_abs_q_kvar_slots,terminal_energy_kwh,exact_optimality_certificate,runtime_seconds
B2,MESS03,MESS03:MOVE:STA08:STA02:66,STA08,STA02,66,70.0,3,2328.787452697754,2517.097925567627,34.750772674141324,RL_47_20_01>RL_20_04_01>RL_04_14_01,False,0.4932897665154649,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.590799500001594
B2,MESS03,MESS03:MOVE:STA08:STA02:67,STA08,STA02,67,71.0,3,2305.965209960937,2494.27568283081,31.702528828661,RL_47_20_01>RL_20_36_01>RL_36_09_01>RL_09_14_02,False,0.4932897360330817,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.513433700194582
B2,MESS03,MESS03:MOVE:STA08:STA02:68,STA08,STA02,68,72.0,3,2375.186004638672,2563.496477508545,32.097978849550266,RL_47_25_01>RL_25_09_02>RL_09_14_02,False,0.4932897399875932,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.570943900151178
B2,MESS03,MESS03:MOVE:STA08:STA02:69,STA08,STA02,69,73.0,3,2358.068389892578,2546.3788627624517,32.18314350959048,RL_47_25_01>RL_25_09_01>RL_09_14_02,False,0.493289740839295,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.50318709993735
B2,MESS03,MESS03:MOVE:STA08:STA02:70,STA08,STA02,70,74.0,3,2338.7528533935547,2527.063326263428,31.620228792781976,RL_47_20_01>RL_20_36_01>RL_36_09_01>RL_09_14_02,False,0.493289735210203,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.494537400081754
B2,MESS03,MESS03:MOVE:STA08:STA02:71,STA08,STA02,71,75.0,3,2341.3842163085938,2529.694689178467,30.30078651272905,RL_47_20_01>RL_20_16_01>RL_16_37_01>RL_37_14_01,False,0.4932897220158354,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.514732700074092
B2,MESS03,MESS03:MOVE:STA08:STA02:72,STA08,STA02,72,76.0,3,2329.1209411621094,2499.148669433594,32.20470914946557,RL_47_25_01>RL_25_09_01>RL_09_14_02,False,0.4932897410550786,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.480063500115648
B2,MESS03,MESS03:MOVE:STA08:STA02:73,STA08,STA02,73,77.0,3,2350.502227783203,2520.529956054688,32.14898489981662,RL_47_25_01>RL_25_09_01>RL_09_14_02,False,0.4932897404979336,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,4.702410755493425e-10,2.105437077069217e-08,760.0,True,4.745638199849054
B2,MESS03,MESS03:MOVE:STA08:STA02:74,STA08,STA02,74,78.0,3,2350.9314575195312,2520.959185791016,30.239419348420867,RL_47_20_01>RL_20_16_01>RL_16_37_01>RL_37_14_01,False,0.4932897214023333,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,4.702410755493425e-10,2.0176927206373677e-08,760.0,True,4.606330699985847
B2,MESS03,MESS03:MOVE:STA08:STA02:75,STA08,STA02,75,79.0,3,2270.8952026367188,2440.9229309082034,30.41105247270561,RL_47_20_01>RL_20_16_01>RL_16_37_01>RL_37_14_01,False,0.4932897231187197,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,2.017692720637367e-08,760.0,True,4.446111300028861
B2,MESS03,MESS03:MOVE:STA08:STA02:76,STA08,STA02,76,80.0,3,2247.952850341797,2417.980578613281,31.80480868918294,RL_47_20_01>RL_20_36_01>RL_36_09_01>RL_09_14_02,False,0.4932897370563552,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,2.2380939472018038e-08,760.0,True,4.492455400060862
B2,MESS03,MESS03:MOVE:STA08:STA02:77,STA08,STA02,77,81.0,3,2290.5811309814453,2460.60885925293,31.658528947599475,RL_47_20_01>RL_20_04_01>RL_04_21_02>RL_21_14_01,False,0.493289735593613,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,2.2380939472018038e-08,760.0,True,4.46263589989394
