day,policy,job_uid,requested_GPU,migration_executed,interruption_seconds,interruption_GPUh,WAN_queue_seconds,restart_GPU_queue_seconds,migration_clock_shift_seconds,remaining_GPU_hours_at_H,source
2025-05-05,B3,8765185,1.0,True,9000.0,2.5,7200.0,0.0,0.0,0.9894444444444445,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8765186,1.0,True,9900.0,2.75,8100.0,0.0,0.0,1.2394444444444443,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8765187,1.0,True,10800.0,3.0,9000.0,0.0,0.0,1.4894444444444443,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8765188,1.0,True,11700.0,3.25,9900.0,0.0,0.0,1.7394444444444443,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8766548,1.0,True,1800.0,0.5,0.0,0.0,0.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8768008,2.0,True,16200.0,9.0,14400.0,0.0,0.0,11.847777777777777,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8768009,2.0,True,17100.0,9.5,15300.0,0.0,0.0,12.449444444444444,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8768010,2.0,True,18000.0,10.0,16200.0,0.0,0.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8768012,2.0,True,18900.0,10.5,17100.0,0.0,0.0,0.4255555555555556,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8768013,2.0,False,0.0,0.0,0.0,0.0,NOT_AVAILABLE,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8768014,2.0,True,19800.0,11.0,18000.0,0.0,-900.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8775211,4.0,True,20700.0,23.0,18900.0,0.0,-900.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8775212,4.0,True,20700.0,23.0,18900.0,0.0,-900.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-06,B1,8683269,4.0,True,2700.0,3.0,900.0,0.0,0.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-06/B1/ACTUAL_JOB_REPLAY.json
