role,family,detector,threshold,tail_quantile,hard_feasible,normalized_deficit,N_hours,coverage,positive_coverage,burst_coverage,Q90_pinball,requirement_ratio,actual_GPUh,predicted_GPUh,N_burst,detector_recall,precision,false_positive_rate,PR_AUC,gated_fraction,gated_hours
DEVELOPMENT,C2,D2_EXTENDED_BALANCED,0.0025,0.75,False,1.881603228109564,1392,0.8563218390804598,0.7874601487778958,0.3132530120481928,183.09542064278753,3.757089801435058,329015.0525,1236139.0982663701,83,0.39759036144578314,0.08847184986595175,0.2597402597402597,0.10842641495754664,0.26795977011494254,373
CALIBRATION,C2,D2_EXTENDED_BALANCED,0.0025,0.75,False,0.9973041435367769,624,0.8958333333333334,0.8702594810379242,0.3684210526315789,302.64285064628234,2.863678960136967,248575.1924999999,711839.5487742461,38,0.5263157894736842,0.11363636363636363,0.26621160409556316,0.10711396046266523,0.28205128205128205,176
DEVELOPMENT,C2,D2_EXTENDED_BALANCED,0.0025,0.9,False,3.033598675996461,1392,0.8584770114942529,0.7906482465462275,0.3493975903614458,226.15461715430698,5.664993464332673,329015.0525,1863868.1220795712,83,0.39759036144578314,0.08847184986595175,0.2597402597402597,0.10842641495754664,0.26795977011494254,373
CALIBRATION,C2,D2_EXTENDED_BALANCED,0.0025,0.9,False,1.621369572161037,624,0.8974358974358975,0.872255489021956,0.39473684210526316,329.9628375686346,4.008750898981059,248575.1924999999,996476.0263987645,38,0.5263157894736842,0.11363636363636363,0.26621160409556316,0.10711396046266523,0.28205128205128205,176
DEVELOPMENT,C2,D2_EXTENDED_BALANCED,0.005,0.5,False,1.4660125781616182,1392,0.8362068965517241,0.7577045696068013,0.1566265060240964,161.94316089437072,1.9029383805193691,329015.0525,626095.3711708452,83,0.2289156626506024,0.08837209302325581,0.1497326203208556,0.10842641495754664,0.15445402298850575,215
CALIBRATION,C2,D2_EXTENDED_BALANCED,0.005,0.5,False,1.139243058045637,624,0.8766025641025641,0.846307385229541,0.21052631578947367,289.86888433362793,1.670037657487699,248575.1924999999,415129.93219225365,38,0.3157894736842105,0.096,0.19283276450511946,0.10711396046266523,0.20032051282051283,125
DEVELOPMENT,C2,D2_EXTENDED_BALANCED,0.005,0.75,False,1.765307466302018,1392,0.8383620689655172,0.7608926673751328,0.1927710843373494,173.05706310647787,2.6203073055050785,329015.0525,862120.5456868869,83,0.2289156626506024,0.08837209302325581,0.1497326203208556,0.10842641495754664,0.15445402298850575,215
CALIBRATION,C2,D2_EXTENDED_BALANCED,0.005,0.75,False,1.3323176439704543,624,0.8766025641025641,0.846307385229541,0.21052631578947367,305.4947534352415,2.2770321561905305,248575.1924999999,566013.7065537509,38,0.3157894736842105,0.096,0.19283276450511946,0.10711396046266523,0.20032051282051283,125
DEVELOPMENT,C2,D2_EXTENDED_BALANCED,0.005,0.9,False,2.4626740305000525,1392,0.8397988505747126,0.7630180658873539,0.21686746987951808,199.7238412300882,3.775803104607642,329015.0525,1242296.0566921462,83,0.2289156626506024,0.08837209302325581,0.1497326203208556,0.10842641495754664,0.15445402298850575,215
CALIBRATION,C2,D2_EXTENDED_BALANCED,0.005,0.9,False,1.7925288529576489,624,0.8766025641025641,0.846307385229541,0.21052631578947367,324.6889267693982,3.063419731133343,248575.1924999999,761490.1493747686,38,0.3157894736842105,0.096,0.19283276450511946,0.10711396046266523,0.20032051282051283,125
DEVELOPMENT,C2,D2_EXTENDED_BALANCED,0.01,0.5,False,1.7520614432475163,1392,0.8218390804597702,0.7364505844845909,0.0963855421686747,160.93992168054754,1.4318904304738425,329015.0525,471113.50515659887,83,0.13253012048192772,0.11702127659574468,0.06340718105423988,0.10842641495754664,0.06752873563218391,94
CALIBRATION,C2,D2_EXTENDED_BALANCED,0.01,0.5,False,1.3628872286386977,624,0.8653846153846154,0.8323353293413174,0.15789473684210525,284.58618702697174,1.4026949069658932,248575.1924999999,348675.1565178163,38,0.23684210526315788,0.1125,0.12116040955631399,0.10711396046266523,0.1282051282051282,80
DEVELOPMENT,C2,D2_EXTENDED_BALANCED,0.01,0.75,False,1.737575084181035,1392,0.8225574712643678,0.7375132837407014,0.10843373493975904,165.4506276104907,1.7571181707944095,329015.0525,578118.3272126266,83,0.13253012048192772,0.11702127659574468,0.06340718105423988,0.10842641495754664,0.06752873563218391,94
CALIBRATION,C2,D2_EXTENDED_BALANCED,0.01,0.75,False,1.3918973593264214,624,0.8653846153846154,0.8323353293413174,0.15789473684210525,294.7143946200671,1.8145001193320034,248575.1924999999,451039.71645422553,38,0.23684210526315788,0.1125,0.12116040955631399,0.10711396046266523,0.1282051282051282,80
DEVELOPMENT,C2,D2_EXTENDED_BALANCED,0.01,0.9,False,1.8975837950260546,1392,0.8239942528735632,0.7396386822529224,0.13253012048192772,176.84852295965086,2.2666166314610776,329015.0525,745750.9899975396,83,0.13253012048192772,0.11702127659574468,0.06340718105423988,0.10842641495754664,0.06752873563218391,94
CALIBRATION,C2,D2_EXTENDED_BALANCED,0.01,0.9,False,1.5720380196374046,624,0.8653846153846154,0.8323353293413174,0.15789473684210525,302.84299403450393,2.3035184932986463,248575.1924999999,572597.5528990207,38,0.23684210526315788,0.1125,0.12116040955631399,0.10711396046266523,0.1282051282051282,80
DEVELOPMENT,C2,D2_EXTENDED_BALANCED,0.02,0.5,False,1.9390355069085494,1392,0.8182471264367817,0.7311370882040382,0.04819277108433735,160.214464160987,1.2492143869193797,329015.0525,411010.337096035,83,0.07228915662650602,0.13636363636363635,0.029029793735676088,0.10842641495754664,0.031609195402298854,44
CALIBRATION,C2,D2_EXTENDED_BALANCED,0.02,0.5,False,1.7255056450566362,624,0.8573717948717948,0.8223552894211577,0.07894736842105263,285.06644400405264,1.2040224390452523,248575.1924999999,299290.10955999297,38,0.10526315789473684,0.09523809523809523,0.06484641638225255,0.10711396046266523,0.0673076923076923,42
DEVELOPMENT,C2,D2_EXTENDED_BALANCED,0.02,0.75,False,1.9177049512044553,1392,0.8189655172413793,0.7321997874601488,0.060240963855421686,162.68458938303567,1.3911537405970262,329015.0525,457710.520998102,83,0.07228915662650602,0.13636363636363635,0.029029793735676088,0.10842641495754664,0.031609195402298854,44
