model,mode,horizon_hours,role,metric,difference_to_LGBM,CI95_low,CI95_high,N_paired_days,block_length_days,bootstrap_draws,seed_aggregation
F3_DEEPAR,fixed,4,MAY_HISTORICAL,burst_mean_miss_GPUh,-921.4475101359094,-1318.7784724166763,-483.4676291973897,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,4,MAY_HISTORICAL,calibrated_coverage,0.04646223284216115,0.007287933094384679,0.10036506040090269,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,8,EXPOSED_EVALUATION,calibrated_Q90_pinball,114.43325702845571,30.31795299976188,201.10389971215278,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,8,EXPOSED_EVALUATION,raw_Q90_pinball,-133.29012594360236,-213.91672301148108,-65.37919496819949,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,8,EXPOSED_EVALUATION,mean_forecast_requirement,520.1469909982815,-213.52868852810207,1278.1642707445753,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,8,EXPOSED_EVALUATION,burst_mean_miss_GPUh,157.1117628654829,-390.84923048241563,764.783842638905,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,8,EXPOSED_EVALUATION,calibrated_coverage,-0.024650349650349644,-0.05349796037296036,0.00040792540792540847,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,8,MAY_HISTORICAL,calibrated_Q90_pinball,175.9140832822314,-34.30205699630398,374.5843282129996,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,8,MAY_HISTORICAL,raw_Q90_pinball,-296.7062316653901,-509.3181057145738,-84.19540549675017,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,8,MAY_HISTORICAL,mean_forecast_requirement,2923.587908749771,1984.691047428435,4089.079782142191,31,7,1000,mean per-seed daily metric before resampling
