N,coverage,GPU_coverage,underprediction_rate,positive_residual_mean_sec,positive_residual_P95_sec,positive_residual_max_sec,MAE_sec,WAPE,log_MAE,completion_slot_MAE,positive_error_sec,GPU_underprediction_sec,overreservation_GPU_hours,overreservation_P95_sec,track,role,u_hours,body,group,Q50_MAE_sec,Q50_WAPE,Q50_pinball,raw_Q90_MAE_sec,overconservative_warning,coverage_gate,GPU_gate,coverage_min,coverage_max
131,0.5114503816793893,0.5114503816793893,0.48854961832061067,2771.7769473244207,9202.641847121613,11285.641847121613,5735.300243552678,0.34570668196079735,0.5019449345397079,6.267175572519084,363102.7800994991,363102.7800994991,107.83931994608383,15097.858152878387,PW,EXPOSED_EVALUATION,8,B1,2025-04-21,5789.262573057592,0.34895936919456333,2894.631286528796,5735.300243552678,False,FAIL,FAIL,0.88,1.0
1,0.0,0.0,1.0,7791.343730837456,7791.343730837456,7791.343730837456,7791.343730837456,0.33757988435170955,0.4118553085456558,9.0,7791.343730837456,7791.343730837456,0.0,0.0,PW,EXPOSED_EVALUATION,8,B1,2025-04-22,14738.328127521072,0.638575742093634,7369.164063760536,7791.343730837456,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
1,0.0,0.0,1.0,7791.343730837456,7791.343730837456,7791.343730837456,7791.343730837456,0.33757988435170955,0.4118553085456558,9.0,7791.343730837456,7791.343730837456,0.0,0.0,PW,EXPOSED_EVALUATION,8,B1,2025-04-23,14738.328127521072,0.638575742093634,7369.164063760536,7791.343730837456,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
511,0.7749510763209393,0.7749510763209393,0.22504892367906065,1089.7351210430359,7791.343730837456,11285.641847121613,7252.094066558198,0.6317986554636426,1.5355771162044995,7.835616438356165,556854.6468529913,556854.6468529913,874.7126169884021,16034.550994844278,PW,EXPOSED_EVALUATION,8,B1,GPU_1,6231.22674474811,0.5428612264387473,3115.613372374055,7252.094066558198,False,FAIL,FAIL,0.88,1.0
1877,0.7810335641981886,0.7790515893694633,0.2189664358018114,870.5549834030786,5827.744743743835,10975.14474374384,9305.121271945905,0.8273349517509068,1.3135701793667152,10.271177410761855,1634031.7038475785,3345257.300352905,9012.183572749305,22047.623431661534,PW,EXPOSED_EVALUATION,8,B1,GPU_2_4,6159.899020063792,0.5476876237948468,3079.949510031896,9305.121271945905,False,FAIL,FAIL,0.88,1.0
16,0.875,0.7176470588235294,0.125,207.66822761854564,1661.3458209483651,1661.3458209483651,17462.040417771663,6.385825715038092,4.704666084367523,18.875,3322.6916418967303,318978.3976220861,2598.7006242885427,21397.19344890675,PW,EXPOSED_EVALUATION,8,B1,GPU_5_PLUS,9527.047010933213,3.4840179231790867,4763.523505466606,17462.040417771663,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
2404,0.718801996672213,0.7186319347782859,0.281198003327787,1131.8569876215422,6011.074560546874,13079.5966796875,8417.996373638338,0.7489566749572896,1.3539860556252141,9.355657237936772,2720984.1982421875,5012045.1396484375,11804.068129882813,21571.221875,PW,EXPOSED_EVALUATION,8,B2,OVERALL,8223.718268929226,0.7316715780219186,4111.859134464613,8417.996373638338,False,FAIL,FAIL,0.9,0.95
31,0.7419354838709677,0.7029702970297029,0.25806451612903225,862.0778099798387,4228.595703125,9228.2421875,11650.586063508064,0.7972807239928256,1.746571183795088,13.096774193548388,26724.412109375,88441.1640625,235.24873860677084,27081.619140625,PW,EXPOSED_EVALUATION,8,B2,2025-04-10,9806.617912046371,0.6710930579987583,4903.308956023186,11650.586063508064,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
6,0.8333333333333334,0.8947368421052632,0.16666666666666666,1538.0403645833333,6921.181640625,9228.2421875,13594.4443359375,1.2688881182232197,2.520180443731203,15.0,9228.2421875,18456.484375,78.35868760850694,23813.4375,PW,EXPOSED_EVALUATION,8,B2,2025-04-11,6927.493489583333,0.6466034183363928,3463.7467447916665,13594.4443359375,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
361,0.739612188365651,0.7381615598885793,0.26038781163434904,1147.3287796485456,4440.404296875,9228.2421875,15739.158571026663,2.2922165041684788,3.177360015876635,17.62326869806094,414185.689453125,828371.37890625,2961.5656358506944,21680.671875,PW,EXPOSED_EVALUATION,8,B2,2025-04-12,10858.209425315963,1.5813657850963156,5429.1047126579815,15739.158571026663,False,FAIL,FAIL,0.88,1.0
