track,u_hours,body,classifier,role,N,tail_N,prevalence,ROC_AUC,PR_AUC,Brier,ECE,eta,selectivity_limit,recall,precision,specificity,FNR,FPR,GPU_recall,GPU_FNR,mass_capture,flagged_fraction
PW,12,B2,C2,DEVELOPMENT,4346,1447,0.3329498389323516,0.9713308189822147,0.9512915232650723,0.060465693278186176,0.09282996323052967,,0.6,,,,,,,,,
PW,12,B2,C3,DEVELOPMENT,4346,1447,0.3329498389323516,0.8654971938230017,0.7371765408365153,0.13790754516723583,0.20896489508372887,,0.6,,,,,,,,,
PW,12,B3,C0,DEVELOPMENT,4346,1447,0.3329498389323516,0.5,0.3329498389323516,0.27480512044562283,0.2295884943945365,,0.6,,,,,,,,,
PW,12,B3,C1,DEVELOPMENT,4346,1447,0.3329498389323516,0.9413565862737023,0.876236613901039,0.11646175518833429,0.18524463122837959,,0.6,,,,,,,,,
PW,12,B3,C2,DEVELOPMENT,4346,1447,0.3329498389323516,0.9713308189822147,0.9512915232650723,0.060465693278186176,0.09282996323052967,,0.6,,,,,,,,,
PW,12,B3,C3,DEVELOPMENT,4346,1447,0.3329498389323516,0.8654971938230017,0.7371765408365153,0.13790754516723583,0.20896489508372887,,0.6,,,,,,,,,
PW,12,B0,C0,CALIBRATION,2634,282,0.1070615034168565,0.5,0.1070615034168565,0.09561302907870906,0.0037001588790413903,,0.6,,,,,,,,,
PW,12,B0,C1,CALIBRATION,2634,282,0.1070615034168565,0.716469610894003,0.3148563775985834,0.11011269237191126,0.17160177323933123,,0.6,,,,,,,,,
PW,12,B0,C2,CALIBRATION,2634,282,0.1070615034168565,0.7814799235296954,0.3091508110488238,0.10415602183592716,0.11090545346489332,,0.6,,,,,,,,,
PW,12,B0,C3,CALIBRATION,2634,282,0.1070615034168565,0.8170547474308871,0.31997487588778334,0.08298466214902395,0.047864871171013866,,0.6,,,,,,,,,
PW,12,B1,C0,CALIBRATION,2634,282,0.1070615034168565,0.5,0.1070615034168565,0.09561302907870906,0.0037001588790413903,,0.6,,,,,,,,,
PW,12,B1,C1,CALIBRATION,2634,282,0.1070615034168565,0.716469610894003,0.3148563775985834,0.11011269237191126,0.17160177323933123,,0.6,,,,,,,,,
PW,12,B1,C2,CALIBRATION,2634,282,0.1070615034168565,0.7814799235296954,0.3091508110488238,0.10415602183592716,0.11090545346489332,,0.6,,,,,,,,,
PW,12,B1,C3,CALIBRATION,2634,282,0.1070615034168565,0.8170547474308871,0.31997487588778334,0.08298466214902395,0.047864871171013866,,0.6,,,,,,,,,
PW,12,B2,C0,CALIBRATION,2634,282,0.1070615034168565,0.5,0.1070615034168565,0.09561302907870906,0.0037001588790413903,,0.6,,,,,,,,,
PW,12,B2,C1,CALIBRATION,2634,282,0.1070615034168565,0.716469610894003,0.3148563775985834,0.11011269237191126,0.17160177323933123,,0.6,,,,,,,,,
PW,12,B2,C2,CALIBRATION,2634,282,0.1070615034168565,0.7814799235296954,0.3091508110488238,0.10415602183592716,0.11090545346489332,,0.6,,,,,,,,,
PW,12,B2,C3,CALIBRATION,2634,282,0.1070615034168565,0.8170547474308871,0.31997487588778334,0.08298466214902395,0.047864871171013866,,0.6,,,,,,,,,
PW,12,B3,C0,CALIBRATION,2634,282,0.1070615034168565,0.5,0.1070615034168565,0.09561302907870906,0.0037001588790413903,,0.6,,,,,,,,,
PW,12,B3,C1,CALIBRATION,2634,282,0.1070615034168565,0.716469610894003,0.3148563775985834,0.11011269237191126,0.17160177323933123,,0.6,,,,,,,,,
PW,12,B3,C2,CALIBRATION,2634,282,0.1070615034168565,0.7814799235296954,0.3091508110488238,0.10415602183592716,0.11090545346489332,,0.6,,,,,,,,,
PW,12,B3,C3,CALIBRATION,2634,282,0.1070615034168565,0.8170547474308871,0.31997487588778334,0.08298466214902395,0.047864871171013866,,0.6,,,,,,,,,
PW,24,B0,C0,DEVELOPMENT,4346,117,0.026921306948918547,0.5,0.026921306948918547,0.026424424294500565,0.015095499773770532,,0.6,,,,,,,,,
PW,24,B0,C1,DEVELOPMENT,4346,117,0.026921306948918547,0.4607361058058623,0.11967671444046646,0.02577274949292092,0.02408577700779083,,0.6,,,,,,,,,
PW,24,B0,C2,DEVELOPMENT,4346,117,0.026921306948918547,0.5606101945662125,0.1121203240665785,0.02595493873516747,0.023832771096544084,,0.6,,,,,,,,,
PW,24,B0,C3,DEVELOPMENT,4346,117,0.026921306948918547,0.7659405044129566,0.07626997560263643,0.025836796485334424,0.010415031362515245,,0.6,,,,,,,,,
PW,24,B1,C0,DEVELOPMENT,4346,117,0.026921306948918547,0.5,0.026921306948918547,0.026424424294500565,0.015095499773770532,,0.6,,,,,,,,,
PW,24,B1,C1,DEVELOPMENT,4346,117,0.026921306948918547,0.4607361058058623,0.11967671444046646,0.02577274949292092,0.02408577700779083,,0.6,,,,,,,,,
PW,24,B1,C2,DEVELOPMENT,4346,117,0.026921306948918547,0.5606101945662125,0.1121203240665785,0.02595493873516747,0.023832771096544084,,0.6,,,,,,,,,
PW,24,B1,C3,DEVELOPMENT,4346,117,0.026921306948918547,0.7659405044129566,0.07626997560263643,0.025836796485334424,0.010415031362515245,,0.6,,,,,,,,,
PW,24,B2,C0,DEVELOPMENT,4346,117,0.026921306948918547,0.5,0.026921306948918547,0.026424424294500565,0.015095499773770532,,0.6,,,,,,,,,
PW,24,B2,C1,DEVELOPMENT,4346,117,0.026921306948918547,0.4607361058058623,0.11967671444046646,0.02577274949292092,0.02408577700779083,,0.6,,,,,,,,,
PW,24,B2,C2,DEVELOPMENT,4346,117,0.026921306948918547,0.5606101945662125,0.1121203240665785,0.02595493873516747,0.023832771096544084,,0.6,,,,,,,,,
