date,window_index,window_start,window_end,Y_k_GPUh,C_phys_k_GPUh,C_hist_k_GPUh,uncapped_prediction_GPUh,actionable_prediction_GPUh,physical_oracle_covered,historical_oracle_covered,uncapped_covered,actionable_covered,physical_prediction_cap_binding,historical_prediction_cap_binding
2025-05-02,5,2025-05-02T01:15:00+10:00,2025-05-02T05:15:00+10:00,534.4997222222222,3120.0,11062.732222222225,1943.4896172425404,1943.4896172425404,True,True,True,True,False,False
2025-05-02,6,2025-05-02T01:30:00+10:00,2025-05-02T05:30:00+10:00,526.48,3120.0,11062.732222222225,1893.357701346064,1893.357701346064,True,True,True,True,False,False
2025-05-02,7,2025-05-02T01:45:00+10:00,2025-05-02T05:45:00+10:00,2282.4194444444447,3120.0,11062.732222222225,2396.040742013009,2396.040742013009,True,True,True,True,False,False
2025-05-02,8,2025-05-02T02:00:00+10:00,2025-05-02T06:00:00+10:00,3157.2675000000004,3120.0,11062.732222222225,1731.7656282170753,1731.7656282170753,False,True,False,False,False,False
2025-05-02,9,2025-05-02T02:15:00+10:00,2025-05-02T06:15:00+10:00,3170.0308333333337,3120.0,11062.732222222225,1715.4629888386714,1715.4629888386714,False,True,False,False,False,False
2025-05-02,10,2025-05-02T02:30:00+10:00,2025-05-02T06:30:00+10:00,3538.8063888888896,3120.0,11062.732222222225,2239.218809726808,2239.218809726808,False,True,False,False,False,False
2025-05-02,11,2025-05-02T02:45:00+10:00,2025-05-02T06:45:00+10:00,3607.715277777778,3120.0,11062.732222222225,1735.7931187180234,1735.7931187180234,False,True,False,False,False,False
2025-05-02,12,2025-05-02T03:00:00+10:00,2025-05-02T07:00:00+10:00,3882.192222222223,3120.0,11062.732222222225,1718.3357215698304,1718.3357215698304,False,True,False,False,False,False
2025-05-02,13,2025-05-02T03:15:00+10:00,2025-05-02T07:15:00+10:00,3818.405,3120.0,11062.732222222225,1718.3357215698304,1718.3357215698304,False,True,False,False,False,False
2025-05-02,14,2025-05-02T03:30:00+10:00,2025-05-02T07:30:00+10:00,3821.917777777778,3120.0,11062.732222222225,1717.6877792563346,1717.6877792563346,False,True,False,False,False,False
2025-05-02,15,2025-05-02T03:45:00+10:00,2025-05-02T07:45:00+10:00,3763.5661111111112,3120.0,11062.732222222225,1719.160284185134,1719.160284185134,False,True,False,False,False,False
2025-05-02,16,2025-05-02T04:00:00+10:00,2025-05-02T08:00:00+10:00,3754.6436111111116,3120.0,11062.732222222225,1753.8750693244397,1753.8750693244397,False,True,False,False,False,False
