split,model,seed,variant,N_days,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh
MAY_HISTORICAL,DEEPAR,20260924,raw,31,744,351588.466388889,0.3924731182795699,0.8723118279569892,0.027688172043010773,315.38215914278834,227.66848974908467,455.33697949816934,2604.5331983150413,1.8767816548440541,1.4564869471056614,659854.7837734222
MAY_HISTORICAL,DEEPAR,20260925,raw,31,744,351588.466388889,0.4206989247311828,0.8440860215053764,0.05591397849462365,315.40554459230947,227.12496911304976,454.2499382260995,2604.993970409261,1.3270257846064453,0.9617561500840721,466566.96046829224
MAY_HISTORICAL,DEEPAR,20260926,raw,31,744,351588.466388889,0.385752688172043,0.8602150537634409,0.03978494623655915,317.35098508101424,228.20085235657555,456.4017047131511,2606.26353722512,1.533095449874296,1.1513356156191754,539018.6780490875
MAY_HISTORICAL,LGBM,20260924,raw,31,744,351588.466388889,0.35080645161290325,0.7943548387096774,0.10564516129032264,321.7947193493358,228.0785042120908,456.1570084241816,2607.472409186387,0.8196398776147422,0.5186290327561148,288175.9275617439
MAY_HISTORICAL,LGBM,20260925,raw,31,744,351588.466388889,0.35080645161290325,0.7943548387096774,0.10564516129032264,321.7947193493358,228.0785042120908,456.1570084241816,2607.472409186387,0.8196398776147422,0.5186290327561148,288175.9275617439
MAY_HISTORICAL,LGBM,20260926,raw,31,744,351588.466388889,0.35080645161290325,0.7943548387096774,0.10564516129032264,321.7947193493358,228.0785042120908,456.1570084241816,2607.472409186387,0.8196398776147422,0.5186290327561148,288175.9275617439
MAY_HISTORICAL,SEASONAL,0,raw,31,744,351588.466388889,0.3279569892473118,0.7405913978494624,0.15940860215053765,338.6822028188472,228.75072645982684,457.5014529196537,2608.268992967448,0.6595818850330615,0.41031261834014804,231901.3834166666
MAY_HISTORICAL,TFT,20260924,raw,31,744,351588.466388889,0.4220430107526882,0.8494623655913979,0.05053763440860215,314.0608336726091,232.29243556919639,464.58487113839277,2610.4636635630877,1.0890971462743222,0.7447748188621761,382913.9954071045
MAY_HISTORICAL,TFT,20260925,raw,31,744,351588.466388889,0.4166666666666667,0.8548387096774194,0.04516129032258065,308.17617261228946,231.67217282455604,463.3443456491121,2610.0288714975754,1.1238950770123346,0.7636403642276538,395148.54650878906
MAY_HISTORICAL,TFT,20260926,raw,31,744,351588.466388889,0.4260752688172043,0.8629032258064516,0.0370967741935484,302.32196014635383,231.25034673025968,462.50069346051936,2609.474231308846,1.3604129172564383,0.9641182607349675,478305.4912338257
EXPOSED_EVALUATION,DEEPAR,20260924,calibrated,88,2112,672290.9750000001,0.41429924242424243,0.9318181818181818,0.031818181818181746,231.30842153673595,152.71879461753434,305.4375892350687,1380.510904424289,3.56684280473214,3.0368132086916395,2397956.2268651053
EXPOSED_EVALUATION,DEEPAR,20260925,calibrated,88,2112,672290.9750000001,0.4303977272727273,0.9180871212121212,0.018087121212121193,225.20234297610472,152.3231694107768,304.6463388215536,1379.5954722323706,3.0816338364831473,2.5809429105240542,2071754.616522246
EXPOSED_EVALUATION,DEEPAR,20260926,calibrated,88,2112,672290.9750000001,0.41429924242424243,0.915719696969697,0.015719696969696995,228.06469888593261,152.58083844453745,305.1616768890749,1380.5549985412906,3.2527967124516532,2.743981581054118,2186825.873290917
EXPOSED_EVALUATION,LGBM,20260924,calibrated,88,2112,672290.9750000001,0.4171401515151515,0.9266098484848485,0.026609848484848486,225.7665628248271,153.41622525380333,306.83245050760667,1381.3020687670287,3.2820140120240104,2.763057563404878,2206468.400107284
EXPOSED_EVALUATION,LGBM,20260925,calibrated,88,2112,672290.9750000001,0.4171401515151515,0.9266098484848485,0.026609848484848486,225.7665628248271,153.41622525380333,306.83245050760667,1381.3020687670287,3.2820140120240104,2.763057563404878,2206468.400107284
