day,category,information_available_at_Dminus1_18AEST,forecast_issue_time,future_actual_used,namespace,status
2025-02-05,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-06,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-06,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-06,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-07,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-07,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-07,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-08,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-08,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-08,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-09,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-09,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-09,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-10,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-10,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-10,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-11,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-11,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-11,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-12,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-12,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-12,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-13,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-13,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
