day,option,site,idle_IT_kW,full_IT_kW,idle_PCC_P_mean_kW,full_PCC_P_max_kW,full_PCC_Q_max_kvar,full_PCC_apparent_max_kVA,idle_PCC_P_delta_mean_kW
2025-05-22,B80,AIDC02,5.832999001271921,36.50553790636839,10.815288730632153,41.4878277192154,13.63638952970515,43.6713975991741,2.49985671489034
2025-05-22,B80,AIDC03,37.497850722462346,234.67845796951104,42.48014049783016,280.9402003808738,92.34057837095804,295.7265267167093,30.83156619556134
2025-05-22,B80,AIDC04,5.832999001271921,36.50553790636839,10.815288730632153,41.4878277192154,13.63638952970515,43.6713975991741,2.49985671489034
2025-05-22,B80,AIDC05,54.58020494047297,341.58753326673275,59.562495715230106,427.4390721352602,140.49242894326156,449.93586540553713,46.24735026967482
2025-05-22,B80,AIDC06,19.58221093284145,122.55430582852244,24.56450066391949,128.60783357321472,42.271350697004245,135.3766669191734,12.915926361650676
2025-05-22,B80,AIDC07,14.165854717374664,88.65630634403752,19.14814444729215,93.63959836132828,30.777847596701328,98.5679982750824,10.83271243155034
2025-05-22,B80,AIDC08,21.66542486186713,135.5919979379397,26.64771459378612,145.2742727135051,47.74934433234856,152.9202870668475,14.999140291517302
2025-05-22,B80,AIDC09,6.249641787077057,39.11307632825184,11.23193151645,44.09536618798583,14.49344597803242,46.41617493472192,2.916499500708189
2025-05-22,B80,AIDC10,44.58077808114968,279.0066111415298,49.56306797708759,341.68363501070775,112.30597982775578,359.66698422179763,37.91449367481878
2025-05-22,B80,AIDC11,11.665998002543844,73.01107581273678,16.64828773220333,77.99340801416008,25.635193522984185,82.09832422543167,8.33285571646152
2025-05-22,B80,AIDC12,47.0806347959805,294.6518416728305,52.06292478833696,363.1224942918459,119.35259210663224,382.23420451773256,40.41435048606815
2025-05-22,B85,AIDC01,17.08235421801062,106.9090752972217,22.06464394841545,111.94178142248398,36.79348425897704,117.83345412893053,10.416069646146644
2025-05-22,B85,AIDC02,5.416356215466784,33.89799948448493,10.398645944815197,38.88028926728544,12.779333086913072,40.92662028135309,2.083213929073385
2025-05-22,B85,AIDC03,34.997994007631526,219.0332274382103,39.98028376625899,259.50134110137145,85.29396609261923,273.1593064224963,28.331709463990183
2025-05-22,B85,AIDC04,5.416356215466784,33.89799948448493,10.398645944815197,38.88028926728544,12.779333086913072,40.92662028135309,2.083213929073385
2025-05-22,B85,AIDC05,50.83041986822674,318.1196874697817,55.81271012090158,395.2807832135532,129.92251052494692,416.0850349616349,42.49756467534629
2025-05-22,B85,AIDC06,18.748925361231173,117.33922898475552,23.73121509205092,122.74780265466262,40.34525167821948,129.2082133206975,12.082640789782104
2025-05-22,B85,AIDC07,13.749211931569528,86.04876792215404,18.731501661435733,91.0316292176156,29.92064959236604,95.8227675974901,10.416069645693922
2025-05-22,B85,AIDC08,20.415496504451724,127.76938267228934,25.397786235829297,134.98336362381548,44.36688608672691,142.08775118296367,13.749211933560485
2025-05-22,B85,AIDC09,5.832999001271921,36.50553790636839,10.815288730632153,41.4878277192154,13.63638952970515,43.6713975991741,2.49985671489034
2025-05-22,B85,AIDC10,42.08092136631885,263.36138061022905,47.06321120134075,320.24477572956977,105.25936754887935,337.09976392586293,35.41463689907193
2025-05-22,B85,AIDC11,11.249355216738705,70.4035373908533,16.23164494636521,75.38585433756259,24.778132076085885,79.35353088164484,7.916212930623402
2025-05-22,B85,AIDC12,44.164135295344536,276.3990727196463,49.14642517909677,338.11049179718475,111.13154444794304,355.90578083914187,37.49785087682795
2025-05-23,B75,AIDC01,19.165568147036307,119.94676740663895,24.147857876311388,125.89374012545436,41.37927132075532,132.51972644784672,12.49928357423236
2025-05-23,B75,AIDC02,5.832999001271921,36.50553790636839,10.815288730467929,41.48782764165288,13.636389504211582,43.67139751752935,2.499856714832524
2025-05-23,B75,AIDC03,39.997707437293165,250.32368850081176,44.979997176417776,307.7652363312944,101.15754130871284,323.9634066645204,33.33142287433875
2025-05-23,B75,AIDC04,5.832999001271921,36.50553790636839,10.815288730467929,41.48782764165288,13.636389504211582,43.67139751752935,2.499856714832524
2025-05-23,B75,AIDC05,58.32999001271921,365.0553790636839,63.3122804165205,469.08019176746456,154.17920308821866,493.7686229131206,49.997134971218735
2025-05-23,B75,AIDC06,21.248782076062,132.98445951605626,26.231071805387938,142.88363323303562,46.96357913390519,150.403824455827,14.58249750330892
2025-05-23,B75,AIDC07,14.999140288984938,93.8713831878044,19.981430018208943,98.856352956218,32.49251191266038,104.05931890128213,11.66599800257354
