role,model,reference,effect,state,metric,delta,CI95_low,CI95_high,block_days,draws,N_days,N_pairs,candidate_unmatched,reference_unmatched
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,PENDING,missed_GPU_slots,-33904.0,-42029.0,-25779.0,7,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,PENDING,overreserved_GPUh,76908.46207729014,36976.91452586756,118853.68857458606,7,2000,13,2713,3739,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,ALL,Q90_pinball,555.9572017394917,61.76062911384803,1191.2679149046355,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,ALL,coverage,-0.0027117908666883608,-0.005353148235277834,0.00036726576295853156,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,ALL,GPU_coverage,-0.009052734907563942,-0.019899194919611153,-0.0007471240167008858,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,ALL,missed_GPU_slots,3438.0,-734.65,7807.174999999999,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,ALL,overreserved_GPUh,-1390.8729832209647,-2878.6832512400097,509.11065485360103,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,ALL,Q90_pinball,555.9572017394917,105.64541939945467,1105.549974143191,7,2000,13,9219,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,ALL,coverage,-0.0027117908666883608,-0.004898040783686526,-0.00012970168612191958,7,2000,13,9219,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,ALL,GPU_coverage,-0.009052734907563942,-0.013933255466566763,-0.0016202888340965129,7,2000,13,9219,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,ALL,missed_GPU_slots,3438.0,1734.0,5082.0,7,2000,13,9219,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,ALL,overreserved_GPUh,-1390.8729832209647,-2133.083059537137,-648.6629069047922,7,2000,13,9219,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,PENDING,Q90_pinball,86.28487076525798,-290.9999059384591,486.3655896425411,1,2000,13,6452,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,PENDING,coverage,-0.00030998140111593303,-0.0009479386401986752,0.0,1,2000,13,6452,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,PENDING,GPU_coverage,-0.000669960639812411,-0.0020927361996971503,0.0,1,2000,13,6452,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,PENDING,missed_GPU_slots,-748.0,-2964.05,562.0249999999999,1,2000,13,6452,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,PENDING,overreserved_GPUh,-785.0125380372774,-2097.396168258976,907.7519317541671,1,2000,13,6452,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,PENDING,Q90_pinball,86.28487076525798,-142.15323812285143,269.669814615719,7,2000,13,6452,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,PENDING,coverage,-0.00030998140111593303,-0.0006652253450856477,0.0,7,2000,13,6452,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,PENDING,GPU_coverage,-0.000669960639812411,-0.0016073940124573037,0.0,7,2000,13,6452,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,PENDING,missed_GPU_slots,-748.0,-1914.0,466.0,7,2000,13,6452,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,PENDING,overreserved_GPUh,-785.0125380372774,-1434.554850749977,-135.47022532465053,7,2000,13,6452,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,RUNNING,Q90_pinball,1651.1237646038803,343.95640724177207,3502.2779010004715,1,2000,13,2767,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,RUNNING,coverage,-0.008312251535959523,-0.019462386114227074,0.0014887323398178776,1,2000,13,2767,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,RUNNING,GPU_coverage,-0.02470293933708568,-0.05856616007541441,-0.0017618431611507348,1,2000,13,2767,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,RUNNING,missed_GPU_slots,4186.0,1130.65,8283.05,1,2000,13,2767,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,RUNNING,overreserved_GPUh,-605.8604451836436,-913.9457498118052,-304.9344482489676,1,2000,13,2767,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,RUNNING,Q90_pinball,1651.1237646038803,134.53932149291452,3212.9255087921147,7,2000,13,2767,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,RUNNING,coverage,-0.008312251535959523,-0.018728222996515678,-0.0003245699448231094,7,2000,13,2767,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,RUNNING,GPU_coverage,-0.02470293933708568,-0.04496249877615175,-0.0036653386454183266,7,2000,13,2767,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,RUNNING,missed_GPU_slots,4186.0,2346.1,5985.0,7,2000,13,2767,0,0
EXPOSED_EVALUATION,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,RUNNING,overreserved_GPUh,-605.8604451836436,-738.0622040812159,-480.70029284835937,7,2000,13,2767,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,ALL,Q90_pinball,-4956.842015243909,-7657.203517137948,-2640.594603195786,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,ALL,coverage,-0.007918429330730014,-0.05363174461144425,0.021487500696404198,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,ALL,GPU_coverage,0.03702895784479468,0.005909306039433749,0.059290662949891694,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,ALL,missed_GPU_slots,-48507.0,-68818.075,-26414.075000000026,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,ALL,overreserved_GPUh,106484.4456585132,80645.56087359459,131536.01623508113,1,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,ALL,Q90_pinball,-4956.842015243909,-7208.18633990492,-2601.562584705754,7,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,ALL,coverage,-0.007918429330730014,-0.03986429177268872,0.01973056115413175,7,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,ALL,GPU_coverage,0.03702895784479468,0.009955264318568458,0.05963259977620291,7,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,ALL,missed_GPU_slots,-48507.0,-77992.0,-21495.0,7,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,ALL,overreserved_GPUh,106484.4456585132,85678.91114014495,127370.14274924344,7,2000,13,9219,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,PENDING,Q90_pinball,-3370.0989649940584,-5150.46582222045,-1905.8043389811849,1,2000,13,6452,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,PENDING,coverage,-0.05099194048357099,-0.07659654455287154,-0.024799083432670548,1,2000,13,6452,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,PENDING,GPU_coverage,-0.03467046311029227,-0.07068876631443048,-0.0005070005275941981,1,2000,13,6452,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,PENDING,missed_GPU_slots,-99.0,-13438.225,9601.474999999997,1,2000,13,6452,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,PENDING,overreserved_GPUh,-20969.264208306908,-40633.86619109892,1236.0225004143335,1,2000,13,6452,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,PENDING,Q90_pinball,-3370.0989649940584,-5119.898311404041,-1301.7768775274671,7,2000,13,6452,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,PENDING,coverage,-0.05099194048357099,-0.06330669944683466,-0.038461538461538464,7,2000,13,6452,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,PENDING,GPU_coverage,-0.03467046311029227,-0.05344202898550725,-0.020535386872020535,7,2000,13,6452,0,0
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,PENDING,missed_GPU_slots,-99.0,-6383.0,6185.0,7,2000,13,6452,0,0
