role,model,stratum,value,major,N,unresolved_N,Q90_coverage,GPU_coverage,pinball,MAE_seconds,long_under,missed_GPU_slots,overreserved_GPUh,requested_overreserved_GPUh,Q90_sum_GPUh
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,wall_bucket,<=1h,False,21,0,1.0,1.0,294.18210224563614,2941.821022456361,,0.0,692.4217498754582,603.8958333333334,829.3192498754582
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,wall_bucket,>72h,True,713,0,0.6367461430575035,0.6601073345259392,44678.35664400553,154425.7465350245,0.3647887323943662,2856.0,108148.27443497448,37899.08944444444,346257.83197132766
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,GPU_bucket,2-4,True,3892,0,0.840955806783145,0.7939118926072982,13072.53080281247,65657.3755828697,0.2511156186612576,16982.0,184756.9844397486,84487.64166666666,464558.717409429
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,GPU_bucket,5-8,False,23,0,0.9130434782608695,0.9130434782608695,7292.96949546112,45466.926441457865,0.09523809523809523,424.0,2148.4085526182553,927.6666666666666,7111.876420450887
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,GPU_bucket,9-32,False,39,0,0.8974358974358975,0.8565022421524664,13397.101920989197,102357.50632011385,0.13333333333333333,0.0,21874.36380497935,30050.304444444446,46557.007135311185
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,GPU_bucket,<=1,True,5247,0,0.9489231942062131,0.9489231942062131,6228.775722444357,47426.65185278847,0.07427937915742794,3950.0,66416.8374405408,111702.85583333333,115506.27980564238
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,GPU_bucket,>32,False,18,0,1.0,1.0,3187.9615460459395,31879.615460459394,0.0,0.0,10895.856666592916,4624.963333333333,13573.576666592917
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,elapsed,<1h,True,325,0,0.8646153846153846,0.8614232209737828,8043.26470282968,29314.63687429125,0.2732919254658385,403.0,3282.4028085057726,6014.0327777777775,9190.24829369606
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,elapsed,1-2h,True,351,0,0.8717948717948718,0.7653061224489796,9663.86243096063,35367.549554943944,0.15517241379310345,4599.0,3943.1371667055505,7185.840833333334,10532.577436468548
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,elapsed,2-4h,True,318,0,0.8459119496855346,0.84472049689441,3671.616780072805,20056.010985742243,0.1891891891891892,454.0,4041.583676635347,5982.260277777777,12139.466792738154
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,elapsed,4-8h,True,442,0,0.8235294117647058,0.7723214285714286,4801.04685949445,22012.319292145192,0.17647058823529413,3108.0,5641.047007454428,5612.815833333333,16988.14504728188
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,elapsed,>8h,True,1331,0,0.7978963185574756,0.7937868237814676,22091.249053897376,99745.07114106094,0.2021036814425244,8396.0,113316.14940032725,35560.17694444444,242726.6877400847
EXPOSED_EVALUATION,PR31_FROZEN_MOE,hardware,H100,True,2713,0,0.34316255068190193,0.38651846539978485,5720.889985767327,8360.124823765345,0.9894222945484134,36220.0,3410.337386142413,52182.56805555556,16100.89432044824
EXPOSED_EVALUATION,PR31_FROZEN_MOE,standby_state,regular_PENDING,True,681,0,0.8061674008810573,0.7845993756503642,4648.678729794764,10632.571530693604,0.9439252336448598,10786.0,2501.4104901801215,18529.18361111111,4967.629798719618
EXPOSED_EVALUATION,PR31_FROZEN_MOE,standby_state,standby_PENDING,True,2032,0,0.18799212598425197,0.1772428884026258,6080.2285021636435,7598.5420445241325,0.9937611408199644,25434.0,908.9268959622913,33653.38444444445,11133.26452172862
EXPOSED_EVALUATION,PR31_FROZEN_MOE,wall_bucket,1-6h,True,359,0,0.10863509749303621,0.10545454545454545,7802.915975943649,9136.783997772132,1.0,6003.0,73.60504391140408,575.0516666666666,1345.2597270711262
EXPOSED_EVALUATION,PR31_FROZEN_MOE,wall_bucket,24-72h,True,282,0,0.18085106382978725,0.1865079365079365,15452.406524961214,19907.47679105718,0.9506172839506173,11182.0,425.1036645507813,15727.007222222222,3141.5026071506077
EXPOSED_EVALUATION,PR31_FROZEN_MOE,wall_bucket,6-24h,True,2055,0,0.40097323600973234,0.38805245264691596,4065.4719102263625,6672.974176111708,0.9985228951255539,19035.0,2758.261950249672,34643.64444444444,11447.29664768484
EXPOSED_EVALUATION,PR31_FROZEN_MOE,wall_bucket,<=1h,False,14,0,1.0,1.0,88.67857142857142,886.7857142857143,,0.0,84.89138888888888,84.89138888888888,98.33333333333333
EXPOSED_EVALUATION,PR31_FROZEN_MOE,wall_bucket,>72h,False,3,0,1.0,1.0,2054.26015625,20542.6015625,,0.0,68.47533854166667,1151.9733333333334,68.50200520833333
EXPOSED_EVALUATION,PR31_FROZEN_MOE,GPU_bucket,2-4,True,2003,0,0.3509735396904643,0.3458610846812559,5179.849283289421,7915.6799467546725,0.9871959026888605,29198.0,2841.392605658637,36536.448333333334,12759.072103542752
EXPOSED_EVALUATION,PR31_FROZEN_MOE,GPU_bucket,5-8,False,1,0,1.0,1.0,56.1,561.0,,0.0,1.2466666666666666,1.2466666666666666,1.3333333333333333
EXPOSED_EVALUATION,PR31_FROZEN_MOE,GPU_bucket,9-32,False,8,0,1.0,1.0,98.53750000000002,985.375,,0.0,53.38666666666666,53.38666666666666,64.0
EXPOSED_EVALUATION,PR31_FROZEN_MOE,GPU_bucket,<=1,True,694,0,0.30835734870317005,0.30835734870317005,7403.748984058447,9797.077980275113,0.9932735426008968,6254.0,340.6434415080812,12545.948611111111,2239.7140723742377
EXPOSED_EVALUATION,PR31_FROZEN_MOE,GPU_bucket,>32,False,7,0,0.7142857142857143,0.6,927.1745744977679,2613.6564592633927,1.0,768.0,173.66800564236112,3045.5377777777776,1036.7748111979167
