role,model,reference,effect,state,missed_slots_reduction,N,unresolved_N,Q90_coverage,GPU_coverage,pinball,MAE_seconds,long_under,missed_GPU_slots,overreserved_GPUh,requested_overreserved_GPUh,Q90_sum_GPUh,reference_missed_GPU_slots,reference_pinball
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,PR42_FROZEN_LGBM_NAIVE_REMAINING,vs_frozen_production,PENDING,-7.171933459966615,40419,0,0.9142235087458869,0.9268206769014001,3779.462844338306,22426.881703873045,0.19433106575963718,141971.0,1050071.7008032992,2273332.5769444443,1483656.7889453957,17373.0,2827.757643463754
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,PR42_FROZEN_LGBM_NAIVE_REMAINING,vs_frozen_production,RUNNING,0.5862587836554616,7073,0,0.8212922380885056,0.7937839833523528,17813.08026453,67453.49866806049,0.19032307456744757,56642.0,238394.25189570425,200667.56555555554,497114.65158515057,136902.0,32197.51370538495
MAY_HISTORICAL,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,ALL,0.004853779179080697,47492,0,0.9099216710182768,0.9140292746246733,10986.745928062663,38412.04376948369,0.2164870198876575,344032.0,1185972.0187412787,2474000.1425,1784147.6355713797,345710.0,10998.099417735491
MAY_HISTORICAL,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,PENDING,0.012649685826876866,40419,0,0.9581632400603677,0.9541002534221779,5562.006446016949,34240.96684581159,0.12781557067271354,155092.0,1099204.3478477749,2273332.5769444443,1516945.898737392,157079.0,5576.601902940293
MAY_HISTORICAL,MOE_POOLED,MOE_CURRENT_TEMPORAL_GPU_COHORT,temporal_same_GPU_cohort,RUNNING,-0.0016381188669942759,7073,0,0.6342428955181677,0.6391219708666175,41986.681616569054,62247.86423857776,0.3961108559179299,188940.0,86767.67089350382,200667.56555555554,267201.73683398776,188631.0,41979.50872785951
MAY_HISTORICAL,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,ALL,0.3872517672774626,47492,0,0.8557862376821359,0.8780764829459086,5295.267843755854,26288.71011408448,0.2739233844441071,210805.0,1194291.5957674051,2474000.1425,1893589.1645927154,344032.0,10986.745928062663
MAY_HISTORICAL,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,PENDING,-0.08685812292058914,40419,0,0.8621440411687573,0.8872222385299556,3576.948853839604,18839.50087354675,0.31398337112622826,168563.0,913441.1510067638,2273332.5769444443,1338883.0430929367,155092.0,5562.006446016949
MAY_HISTORICAL,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,RUNNING,0.776426378744575,7073,0,0.8194542626890994,0.8153319460294018,15114.684675853257,68857.57598334705,0.19277292910733426,42242.0,280850.4447606413,200667.56555555554,554706.1214997787,188940.0,41986.681616569054
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,ALL,0.057835440335855415,47492,0,0.9003832224374632,0.9098959845599413,5869.494344654481,29132.711354923704,0.19300642680026314,198613.0,1288465.9526990035,2474000.1425,1980771.4405305465,210805.0,5295.267843755854
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,PENDING,0.15775704039439264,40419,0,0.9142235087458869,0.9268206769014001,3779.462844338306,22426.881703873045,0.19433106575963718,141971.0,1050071.7008032992,2273332.5769444443,1483656.7889453957,168563.0,3576.948853839604
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,RUNNING,-0.340892950144406,7073,0,0.8212922380885056,0.7937839833523528,17813.08026453,67453.49866806049,0.19032307456744757,56642.0,238394.25189570425,200667.56555555554,497114.65158515057,42242.0,15114.684675853257
