day,case,slot,GRID_SAFETY_BLOCKED_nodeh,active_line_current_constraint,active_phase,active_voltage_constraint,active_transformer_constraint,active_rack_constraint_count,active_no_regret_constraint,no_regret_slack_pu,no_regret_dual_nodeh_per_pu,minimum_rack_slack_nodeh,minimum_service_slack_nodeh,voltage_slack,transformer_slack,lexicographic_phase_service_became_blocked,no_regret_margin_blocked_nodeh,physical_planning_current_blocked_nodeh,voltage_blocked_nodeh,transformer_blocked_nodeh,rack_blocked_nodeh,multiple_constraint_blocked_nodeh
2025-04-04,B1,62,1.104264255350469,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,3,True,0.0,-463.75607343947496,0.0,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.04644513692461827,1.0578191184258507,0.0,0.0,0.0,0.0
2025-04-04,B1,64,1.1491460717848703,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,5,True,0.0,-451.9682717218828,0.0,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.05116980855925202,1.0979762632256183,0.0,0.0,0.0,0.0
2025-04-04,B1,65,0.8762735234262269,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,3,True,0.0,-464.76524305430246,0.0,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.044630894525895914,0.8316426289003309,0.0,0.0,0.0,0.0
2025-04-04,B1,68,0.18516662690492347,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,9,True,0.0,-454.90254721549417,0.0,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.095596009597821,0.08957061730710247,0.0,0.0,2.220446049250313e-16,0.0
2025-04-04,B1,69,0.02043808328458891,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,0,True,0.0,-466.85881862732555,0.016332628470150934,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.001051119283060892,0.019386964001528017,0.0,0.0,0.0,0.0
2025-04-04,B1,70,0.9663877680901362,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,0,True,0.0,-522.2526865672722,0.01619362507521671,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.0,0.9663877680901362,0.0,0.0,0.0,0.0
2025-04-04,B1,73,0.46956696341759724,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,0,True,0.0,-571.6837092102111,0.016642546545237752,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.0,0.46956696341759724,0.0,0.0,0.0,0.0
2025-04-04,B1,74,0.5366823202489337,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,0,True,0.0,-522.9366520527668,0.01636129453992337,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.0,0.5366823202489337,0.0,0.0,0.0,0.0
2025-04-04,B1,75,0.7471408937503321,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,0,True,0.0,-523.2902666174268,0.015248726511208566,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.0,0.7471408937503321,0.0,0.0,1.1102230246251565e-16,0.0
2025-04-04,B1,76,0.42648526288022137,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,0,True,0.0,-511.77556855063364,0.015141634401492715,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.0022087706513256138,0.42427649222889574,0.0,0.0,0.0,0.0
2025-04-04,B1,77,1.7680637528829195,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,0,True,0.0,-468.0808882455057,0.015160023955686344,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.0023695751912372193,1.7656941776916821,0.0,0.0,0.0,0.0
2025-04-04,B1,78,1.8116692020702208,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,0,True,0.0,-524.0296755654142,0.015098364862213581,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.0,1.8116692020702208,0.0,0.0,2.220446049250313e-16,0.0
2025-04-04,B1,79,0.6558329607027995,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,0,True,0.0,-524.7595730985663,0.015259003026787371,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.0,0.6558329607027995,0.0,0.0,0.0,0.0
