day,rho_AIDC,candidate_max_abs_current_error_pu,anchor_max_abs_current_error_bound_pu,one_sided_candidate_minus_anchor_error_bound_pu,formula,April_rows_used,candidate_object,anchor_object,candidate_anchor_errors_treated_independently,candidate_anchor_correlation_or_cancellation_used
2025-03-20,1.0,0.00016065894662178892,0.00016065894662178892,0.00032131789324357785,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-21,1.0,0.00018386165760747586,0.00018386165760747586,0.0003677233152149517,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-22,1.0,0.0002950917147636206,0.0002950917147636206,0.0005901834295272412,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-23,1.0,0.00029874282763490967,0.00029874282763490967,0.0005974856552698193,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-24,1.0,0.00022789774061057755,0.00022789774061057755,0.0004557954812211551,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-25,1.0,0.0002668715071117156,0.0002668715071117156,0.0005337430142234312,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-26,1.0,0.00022452048098994815,0.00022452048098994815,0.0004490409619798963,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-27,1.0,0.00027314942509346074,0.00027314942509346074,0.0005462988501869215,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-28,1.0,0.00020046126915038154,0.00020046126915038154,0.0004009225383007631,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-29,1.0,0.00018712901127479475,0.00018712901127479475,0.0003742580225495895,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-30,1.0,0.00023260004605112072,0.00023260004605112072,0.00046520009210224145,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-31,1.0,0.00022748396198735144,0.00022748396198735144,0.00045496792397470287,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
