day,case,slot,AIDC,rack,h_REC_nodeh,physical_rack_capacity_nodeh,actual_residual_occupancy_nodeh,actual_residual_capacity_nodeh,DA_flexible_occupancy_nodeh,scenario_recourse_demand_nodeh,scenario_recourse_demand_status,preApril_electrical_sensitivity_pu_per_kw,Apr04_realized_electrical_sensitivity_pu_per_kw,headroom_utilization_in_Actual,actual_recourse_received_nodeh,top5_grid_critical_slot,top10_grid_critical_slot,top_quartile_leverage_site_slot,bottom_quartile_leverage_site_slot,GRID_EFFECTIVE_HEADROOM_contribution_nodeh_pu_per_kw
2025-04-04,B1,0,AIDC12,AIDC12_LP02,0.2843431213506981,0.2843431213506981,0.2581646458475561,0.026178475503142007,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0003155316699832711,,0.0920664983164986,0.026178475503142007,False,False,False,False,8.971925992804168e-05
2025-04-04,B1,0,AIDC12,AIDC12_LP03,0.3203827612485547,0.3203827612485547,0.29088624229942944,0.02949651894912525,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0003155316699832711,,0.09206649831649866,0.02949651894912525,False,False,False,False,0.0001010909076906081
2025-04-04,B1,0,AIDC12,AIDC12_LP04,0.276771448758311,0.42315480990553883,0.38419642831175227,0.03895838159378656,0.14638336114722783,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0003155316699832711,,0.14076011730461277,0.03895838159378748,False,False,False,False,8.733015743039921e-05
2025-04-04,B1,1,AIDC01,AIDC01_LP01,0.46263791397252396,0.46263791397252396,0.43130763049283166,0.0313302834796923,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020560764273908072,,0.06772095959595954,0.0313302834796923,False,False,False,True,9.512189093361627e-05
2025-04-04,B1,1,AIDC01,AIDC01_LP02,0.0,0.4874453508869111,0.45443508397426025,0.033010266912650854,0.4874453508869111,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020560764273908072,,,0.0,False,False,False,True,0.0
2025-04-04,B1,1,AIDC01,AIDC01_LP03,0.549227590711808,0.549227590711808,0.5120333712322275,0.03719421947958057,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020560764273908072,,0.06772095959595957,0.03719421947958057,False,False,False,True,0.00011292539025351948
2025-04-04,B1,1,AIDC01,AIDC01_LP04,0.7254082455523523,0.7254082455523523,0.6762829030647255,0.04912534248762679,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020560764273908072,,0.0677209595959596,0.04912534248762679,False,False,False,True,0.00014914947939151138
2025-04-04,B1,1,AIDC02,AIDC02_LP01,0.8224674026178204,0.8224674026178204,0.7667691208761451,0.05569828174167524,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0002100334744501442,,0.06772095959595958,0.05569828174167524,False,False,False,True,0.00017274568619380645
2025-04-04,B1,1,AIDC02,AIDC02_LP02,0.866569512687842,0.866569512687842,0.8078845937320183,0.05868491895582373,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0002100334744501442,,0.06772095959595958,0.05868491895582373,False,False,False,True,0.00018200860560239576
2025-04-04,B1,1,AIDC02,AIDC02_LP03,0.976404605709881,0.976404605709881,0.9102815488572932,0.06612305685258779,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0002100334744501442,,0.06772095959595968,0.06612305685258779,False,False,False,True,0.0002050776518063694
2025-04-04,B1,1,AIDC02,AIDC02_LP04,1.2896146587597377,1.2896146587597377,1.2022807165595122,0.0873339422002255,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0002100334744501442,,0.06772095959595965,0.0873339422002255,False,False,False,True,0.0002708622474811448
2025-04-04,B1,1,AIDC03,AIDC03_LP01,0.8481695089496274,0.8481695089496274,0.7907306559035248,0.057438853046102634,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020929160411586878,,0.06772095959595963,0.057438853046102634,False,False,False,True,0.00017751475709023624
2025-04-04,B1,1,AIDC03,AIDC03_LP02,0.8936498099593372,0.8936498099593372,0.833130987286144,0.060518822673193196,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020929160411586878,,0.06772095959595954,0.060518822673193196,False,False,False,True,0.00018703340224423098
2025-04-04,B1,1,AIDC03,AIDC03_LP03,1.0069172496383147,1.0069172496383147,0.9387278472590836,0.0681894023792311,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020929160411586878,,0.06772095959595963,0.0681894023792311,False,False,False,True,0.0002107393263887416
2025-04-04,B1,1,AIDC03,AIDC03_LP04,1.3299151168459795,1.3299151168459795,1.239851988951997,0.09006312789398252,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020929160411586878,,0.06772095959595964,0.09006312789398252,False,False,False,True,0.0002783400681426381
2025-04-04,B1,1,AIDC04,AIDC04_LP01,0.37268054181119986,0.37268054181119986,0.3474422578970033,0.02523828391419658,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020974359752623517,,0.06772095959595956,0.02523828391419658,False,False,False,True,7.816735756750756e-05
2025-04-04,B1,1,AIDC04,AIDC04_LP02,0.0,0.3926643104366784,0.36607270653482077,0.026591603901857608,0.3926643104366784,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020974359752623517,,,0.0,False,False,False,True,0.0
2025-04-04,B1,1,AIDC04,AIDC04_LP03,0.4424333369622898,0.4424333369622898,0.41247132682596105,0.029962010136328765,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020974359752623517,,0.0677209595959595,0.029962010136328765,False,False,False,True,9.27975597600077e-05
2025-04-04,B1,1,AIDC04,AIDC04_LP04,0.5843566422505062,0.5843566422505062,0.544783449691029,0.03957319255947722,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00020974359752623517,,0.06772095959595972,0.03957319255947722,False,False,False,True,0.00012256506438397237
