issue_time,role,query_N,submit_start_not_after_issue,elapsed_computed_from_known_start_and_issue,R1_preprocessing_latest_mature_end,R1_preprocessing_source_sha256,portable_preprocessing_sha256,request_version_available_time,authority
2025-05-14 08:00:00+00:00,MAY_HISTORICAL,260,True,True,2025-05-14 07:58:12+00:00,bf78fc05f70932c2c8099a226bc5c27ade8ada8be944566e0234e761c1c9ec82,e2adeb10a5d6156b41d5b0ab0c7b113870e6f300c500451a7dbcdb9d4e50cb51,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-15 08:00:00+00:00,MAY_HISTORICAL,360,True,True,2025-05-15 07:55:01+00:00,3c8528ebc87028e9dc550bb84c0c86760cd44e6515b472120d225397e53eb43d,6e1a133ee810b6564c242f3b6d36a26bc061d7c7623cfc7e46e51fc8ed3ec448,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-16 08:00:00+00:00,MAY_HISTORICAL,278,True,True,2025-05-16 07:57:48+00:00,c0da65a00f8d72572b63f112d0fc1b481025d2946372c365f8ea50a41a7965ad,1a48a7a83e84d018dca9eab0836edcbcfb9d134c942701241564f3ed2fe53725,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-17 08:00:00+00:00,MAY_HISTORICAL,158,True,True,2025-05-17 07:58:44+00:00,4b65803b793a78aed1eaded7e116392b68f03655e792c96219b3ea6b7e467f36,ef1420f81443c365b0f2a0da24ac74304bb8ba176f6e1b7890e72ba0812cd380,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-18 08:00:00+00:00,MAY_HISTORICAL,203,True,True,2025-05-18 07:56:02+00:00,0e30d9b2b90ec51318876aa52896db2bc57b62c2b2c81ac710ee9d4bc8bcaa7f,3358ec2930870b3d8b0f737e64e0da19fd6240969fd7f9c28b4ef769a76598c8,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-19 08:00:00+00:00,MAY_HISTORICAL,202,True,True,2025-05-19 07:57:16+00:00,6096f8730a1c6087e8e40f6c3767777ab695002068f80bf41b1e7f4b74cbc70d,4f7ece4a0fb7fba05d7b8e05db8120919894b4b6452d0f56afd9aa5dee664531,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-20 08:00:00+00:00,MAY_HISTORICAL,132,True,True,2025-05-20 07:53:20+00:00,c4b861e92f8d973bd736a591fbd96500511cc4416b9e3efdd031c787ea81256e,905cc1c1e95f0f2c225ccf527b8b222530979a0206eb3ab79ad06fe31b3c4595,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-21 08:00:00+00:00,MAY_HISTORICAL,122,True,True,2025-05-21 07:41:33+00:00,47d1a9ef8ffbbd74d5ada4811ec4964593ed4eb584feb9b02c8b47a3daf2eae8,b6a4c45f8941297754d45e076f09c684ead7cae39143fe0c7088b45fb9becb47,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-22 08:00:00+00:00,MAY_HISTORICAL,136,True,True,2025-05-22 07:53:46+00:00,b0438bd87155b4354657c95e3ed320dbf0abf7e1a1a4cabe5c6e37fc51d4039f,8449594b63d4d365544e1d5d98211ac215ff549957b23143757dfae6cbdf3c9c,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-23 08:00:00+00:00,MAY_HISTORICAL,72,True,True,2025-05-23 07:57:40+00:00,1b31362bd0e0cae8a6d5c5391cc28d981e48476a70546b1763f887e01a786777,d72d46716e8311ec59dd5e051a2e22621afdf10d408f02b30f98afacb4572eb3,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-24 08:00:00+00:00,MAY_HISTORICAL,76,True,True,2025-05-24 06:33:59+00:00,f2c4312dc25187562be0d459a1354ae8c8de55a7989d8769e9e5b12732988b8d,ca36963e84e53a565ec35ae6c427ca5b4c7b6c470114a07ed2909583e118cc52,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-25 08:00:00+00:00,MAY_HISTORICAL,109,True,True,2025-05-25 07:55:32+00:00,7473459b196ef4b4a0a85047184b11eb5b4d00c36fed0d5ee31b8c9a2dce14c3,8dd66a6653bd498bbd7c6698b1cfc3a58df4559519e3190ba309cdc61babcdbf,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-26 08:00:00+00:00,MAY_HISTORICAL,73,True,True,2025-05-26 07:23:57+00:00,2f6f83480fefae8bcbade80c5439ef97eff70b60871455afccb7b160080635b4,64d4f9810ac82a938d5700413addc7f7c9e908696e2fa6b70333fa295480f60a,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-27 08:00:00+00:00,MAY_HISTORICAL,66,True,True,2025-05-27 07:47:15+00:00,5cdbc5d0e5acc6655abdcaa679bc3446638f8cab83f6c955ed68e345f2e797a6,3f1e22aa8473187919cbdefddf726decc2712c2940b887d79c000a215a6e2ba7,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-28 08:00:00+00:00,MAY_HISTORICAL,106,True,True,2025-05-28 07:42:36+00:00,a3b375f6c2ae7135c8404363fcec68bdeca9513fd16cedb652a0522e16029371,1647a0944d06ba41a1f3002d50ca7ec058836a159a89565a0232c0f19efbf44e,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-29 08:00:00+00:00,MAY_HISTORICAL,171,True,True,2025-05-29 07:59:07+00:00,71dd3a0ae259b33b45dd312d6814f3dce36b94fb1850f568994899c175f64cce,6b810bde333c06536bde2eb2101a273befc73e019a76db0e5ef01937a9aba2d0,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-30 08:00:00+00:00,MAY_HISTORICAL,160,True,True,2025-05-30 07:49:50+00:00,02665b3fa6f3d63c77fe48c6fcb19f6d806a8358d59679decbe62228f1efdf2f,6d83589af45c929e57c37d2567431e5585de8d80a5a204149076d304fd188280,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
