role,model,reference,metric,delta,CI95_low,CI95_high,N_days,draws,block_observed_days
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,predicted_high_risk_fraction,-0.2567204301075268,-0.39516129032258057,-0.12903225806451615,31,2000,7
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,Q90_pinball,26.891207423488993,8.615845838529234,44.701083115578456,31,2000,1
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,coverage,0.03629032258064513,0.022849462365591378,0.051075268817204256,31,2000,1
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,positive_coverage,0.04225352112676051,0.025874207158818115,0.06119969063838218,31,2000,1
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,burst_coverage,0.33333333333333337,0.2241265880217786,0.4464520676691728,31,2000,1
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,requirement_ratio,1.5807694600280593,1.1002714447713384,2.3713017052622565,31,2000,1
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,detector_recall,-0.28985507246376807,-0.42666666666666664,-0.16901408450704225,31,2000,1
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,precision,0.003822322362597566,-0.015614076957018467,0.023226688028037182,31,2000,1
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,false_positive_rate,-0.2533333333333333,-0.34222522522522525,-0.16989496265412188,31,2000,1
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,pinball_minus_2pct_margin,20.735633584035817,1.0408777318718667,40.414002585474975,31,2000,1
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,PR_AUC,-0.006922848245659613,-0.054282055113668876,0.04278198030250451,31,2000,1
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,predicted_high_risk_fraction,-0.2567204301075268,-0.34274193548387094,-0.17338709677419356,31,2000,1
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,Q90_pinball,26.891207423488993,14.215254476019602,39.97470114458639,31,2000,7
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,coverage,0.03629032258064513,0.021505376344086002,0.05241935483870963,31,2000,7
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,positive_coverage,0.04225352112676051,0.0247678018575852,0.06113257154413997,31,2000,7
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,burst_coverage,0.33333333333333337,0.2542372881355932,0.4186125078566939,31,2000,7
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,requirement_ratio,1.5807694600280593,1.2652328046548993,2.0630001528951523,31,2000,7
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,detector_recall,-0.28985507246376807,-0.44447791164658634,-0.13156816220880072,31,2000,7
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,precision,0.003822322362597566,-0.006233623045354611,0.018066307834735854,31,2000,7
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,false_positive_rate,-0.2533333333333333,-0.3922193399460621,-0.12771142062785112,31,2000,7
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,pinball_minus_2pct_margin,20.735633584035817,8.538438290276604,32.85155292775329,31,2000,7
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,PR_AUC,-0.006922848245659613,-0.05166213111590315,0.03559394948727626,31,2000,7
MAY_HISTORICAL,C2,C0 forecast / PR69 balanced detector matched0.01 gate,predicted_high_risk_fraction,-0.2567204301075268,-0.39516129032258057,-0.12903225806451615,31,2000,7
