date,model,phase,reserve_nomination_GPU_h,reserve_shortfall_GPU_h,lower_boundary_MAE_GPU_h,upper_boundary_MAE_GPU_h,normalized_boundary_score,hausdorff_boundary_proxy_GPU_h,simultaneous_inner_coverage,nonempty_set,safe_width_GPU_h,reference_width_GPU_h,capture_ratio
2025-01-12,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6147.54478191487,6363.387555785769,30.331142203848653,11550.561237504566,True,False,0.0,159456.52444444457,0.0
2025-01-13,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6153.9101185874315,6316.304274528499,35.51426167728731,10691.803231099024,True,False,0.0,136768.3733333333,0.0
2025-01-14,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6207.199923926925,6196.876337097161,95.82590782342615,7914.941005460712,True,False,0.0,46405.7438888889,0.0
2025-01-15,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6292.021884175824,6161.934535866518,173.26122771428936,9584.67827439418,True,False,0.0,22939.209444444445,0.0
2025-01-16,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6187.449490933878,6230.195383755417,82.80105679514068,7637.682271539862,True,False,0.0,47054.86833333335,0.0
2025-01-17,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6231.298238281446,6167.72416480709,617.3780921535401,7880.937926808141,True,False,0.0,5123.758333333335,0.0
2025-01-18,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6226.858055565307,6180.688761452684,408.32654748465563,7678.778791853556,True,False,0.0,14065.343333333332,0.0
2025-01-19,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6222.895810087493,6191.4278838107675,173.49019590587918,8074.039351146914,True,False,0.0,36658.548888888894,0.0
2025-01-20,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6156.238054126448,6340.212361314833,35.24017484270464,11178.76599117004,True,False,0.0,148335.12,0.0
2025-01-21,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6162.3927627741505,6306.556682544157,35.41842299882315,10252.250408513932,True,False,0.0,132405.32944444436,0.0
2025-01-22,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6219.688605475926,6223.812440002956,61.14295471522049,7735.715874843994,True,False,0.0,72931.09166666662,0.0
2025-01-23,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6267.393903855501,6177.700166174769,95.26076287224618,8257.614157819677,True,False,0.0,53689.336111111144,0.0
2025-01-24,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6257.299723126739,6187.346487422845,156.8510626042005,8575.234238078077,True,False,0.0,29906.63222222222,0.0
2025-01-25,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6182.509206093597,6296.859233942175,39.65469741201041,10036.577675937602,True,False,0.0,121767.07166666683,0.0
2025-01-26,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6256.747586615193,6183.4514173527505,98.90982787758266,8972.887294637114,True,False,0.0,26675.74166666666,0.0
2025-01-27,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6301.926845022677,6146.059145264517,12447.985990287194,9363.679173795785,True,False,0.0,12.088888888888889,0.0
2025-01-28,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6117.203358615789,6329.476249081401,40.47596250499623,11294.69777611997,True,False,0.0,126325.72777777779,0.0
2025-01-29,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6250.066231561537,6163.888080110715,542.8112167683139,8415.888583571645,True,False,0.0,3636.631111111111,0.0
2025-01-30,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6202.5191315391485,6227.695163073088,113.7872385155123,7976.365810688963,True,False,0.0,56516.08666666664,0.0
2025-01-31,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6177.457997014767,6311.733612314019,37.37281931042093,10633.241401869036,True,False,0.0,126854.57222222221,0.0
2025-02-01,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6171.6357586906925,6242.777575457147,63.366146768323524,8805.427296046088,True,False,0.0,78083.75888888889,0.0
2025-02-02,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6212.645554577839,6171.945049531062,237.299190578595,7388.2276415293645,True,False,0.0,19269.046666666665,0.0
