namespace,wetbulb_c,rh_pct,segment,it_lower_kw,it_upper_kw,pcc_slope,pcc_intercept_kw
FORECAST_DAYAHEAD_GFS,0.0,50.0,15,279.65849574700064,298.30239546346735,1.2920748650839369,-25.84992367765983
FORECAST_DAYAHEAD_GFS,0.0,50.0,16,298.30239546346735,316.94629517993405,1.292074865083946,-25.84992367766256
FORECAST_DAYAHEAD_GFS,0.0,50.0,17,316.94629517993405,335.59019489640076,1.292074865083949,-25.849923677663526
FORECAST_DAYAHEAD_GFS,0.0,50.0,18,335.59019489640076,354.23409461286747,1.2920748650839429,-25.84992367766148
FORECAST_DAYAHEAD_GFS,0.0,50.0,19,354.23409461286747,372.8779943293342,1.292074865083949,-25.84992367766364
FORECAST_DAYAHEAD_GFS,0.0,50.0,20,372.8779943293342,391.5218940458009,1.292074865083949,-25.84992367766364
FORECAST_DAYAHEAD_GFS,0.0,50.0,21,391.5218940458009,410.1657937622676,1.292074865083946,-25.849923677662446
FORECAST_DAYAHEAD_GFS,0.0,50.0,22,410.1657937622676,428.8096934787343,1.292074865083946,-25.849923677662503
FORECAST_DAYAHEAD_GFS,0.0,50.0,23,428.8096934787343,447.453593195201,1.292074865083949,-25.84992367766381
FORECAST_DAYAHEAD_GFS,0.0,80.0,0,0.0,18.64389971646671,1.000000021632999,4.982289746661176
FORECAST_DAYAHEAD_GFS,0.0,80.0,1,18.64389971646671,37.28779943293342,1.0000005210912268,4.982280434812061
FORECAST_DAYAHEAD_GFS,0.0,80.0,2,37.28779943293342,55.93169914940013,1.0000125510817262,4.981831862939146
FORECAST_DAYAHEAD_GFS,0.0,80.0,3,55.93169914940013,74.57559886586684,1.0003018114141797,4.965653041048498
FORECAST_DAYAHEAD_GFS,0.0,80.0,4,74.57559886586684,93.21949858233354,1.006985404904545,4.4672200539285
FORECAST_DAYAHEAD_GFS,0.0,80.0,5,93.21949858233354,111.86339829880026,1.0933613835956952,-3.5847053692188524
FORECAST_DAYAHEAD_GFS,0.0,80.0,6,111.86339829880026,130.50729801526697,1.2566511010485049,-21.85084807074105
FORECAST_DAYAHEAD_GFS,0.0,80.0,7,130.50729801526697,149.15119773173367,1.290262430554709,-26.237371867296588
FORECAST_DAYAHEAD_GFS,0.0,80.0,8,149.15119773173367,167.79509744820038,1.2919988432803997,-26.496359905089975
FORECAST_DAYAHEAD_GFS,0.0,80.0,9,167.79509744820038,186.4389971646671,1.2920717077017196,-26.50858619776585
FORECAST_DAYAHEAD_GFS,0.0,80.0,10,186.4389971646671,205.0828968811338,1.2920747340038903,-26.50915041850766
FORECAST_DAYAHEAD_GFS,0.0,80.0,11,205.0828968811338,223.72679659760053,1.2920748596421987,-26.509176184775896
FORECAST_DAYAHEAD_GFS,0.0,80.0,12,223.72679659760053,242.37069631406723,1.2920748648580316,-26.509177351697474
FORECAST_DAYAHEAD_GFS,0.0,80.0,13,242.37069631406723,261.01459603053394,1.2920748650745706,-26.509177404180207
FORECAST_DAYAHEAD_GFS,0.0,80.0,14,261.01459603053394,279.65849574700064,1.2920748650835558,-26.50917740652551
FORECAST_DAYAHEAD_GFS,0.0,80.0,15,279.65849574700064,298.30239546346735,1.2920748650839309,-26.509177406630386
FORECAST_DAYAHEAD_GFS,0.0,80.0,16,298.30239546346735,316.94629517993405,1.292074865083946,-26.509177406634876
FORECAST_DAYAHEAD_GFS,0.0,80.0,17,316.94629517993405,335.59019489640076,1.292074865083949,-26.509177406635843
FORECAST_DAYAHEAD_GFS,0.0,80.0,18,335.59019489640076,354.23409461286747,1.292074865083946,-26.50917740663482
FORECAST_DAYAHEAD_GFS,0.0,80.0,19,354.23409461286747,372.8779943293342,1.292074865083946,-26.50917740663482
FORECAST_DAYAHEAD_GFS,0.0,80.0,20,372.8779943293342,391.5218940458009,1.292074865083949,-26.509177406635956
FORECAST_DAYAHEAD_GFS,0.0,80.0,21,391.5218940458009,410.1657937622676,1.292074865083946,-26.509177406634763
FORECAST_DAYAHEAD_GFS,0.0,80.0,22,410.1657937622676,428.8096934787343,1.292074865083946,-26.50917740663482
FORECAST_DAYAHEAD_GFS,0.0,80.0,23,428.8096934787343,447.453593195201,1.292074865083949,-26.509177406636127
FORECAST_DAYAHEAD_GFS,0.0,100.0,0,0.0,18.64389971646671,1.000000016733663,4.982289742704867
FORECAST_DAYAHEAD_GFS,0.0,100.0,1,18.64389971646671,37.28779943293342,1.0000004030772998,4.982282539752845
FORECAST_DAYAHEAD_GFS,0.0,100.0,2,37.28779943293342,55.93169914940013,1.0000097087370587,4.981935552178157
FORECAST_DAYAHEAD_GFS,0.0,100.0,3,55.93169914940013,74.57559886586684,1.0002335530312114,4.9694155604613
FORECAST_DAYAHEAD_GFS,0.0,100.0,4,74.57559886586684,93.21949858233354,1.0054534038929392,4.580142056457447
FORECAST_DAYAHEAD_GFS,0.0,100.0,5,93.21949858233354,111.86339829880026,1.0799562136413772,-2.3649725112669415
FORECAST_DAYAHEAD_GFS,0.0,100.0,6,111.86339829880026,130.50729801526697,1.2486325426466585,-21.233679886364186
FORECAST_DAYAHEAD_GFS,0.0,100.0,7,130.50729801526697,149.15119773173367,1.289739065515894,-26.598381116830893
FORECAST_DAYAHEAD_GFS,0.0,100.0,8,149.15119773173367,167.79509744820038,1.2919765983092903,-26.932111812930003
FORECAST_DAYAHEAD_GFS,0.0,100.0,9,167.79509744820038,186.4389971646671,1.2920707832953484,-26.947915591843753
FORECAST_DAYAHEAD_GFS,0.0,100.0,10,186.4389971646671,205.0828968811338,1.2920746956258804,-26.94864500282472
FORECAST_DAYAHEAD_GFS,0.0,100.0,11,205.0828968811338,223.72679659760053,1.2920748580489447,-26.948678313017297
FORECAST_DAYAHEAD_GFS,0.0,100.0,12,223.72679659760053,242.37069631406723,1.2920748647918887,-26.94867982159451
FORECAST_DAYAHEAD_GFS,0.0,100.0,13,242.37069631406723,261.01459603053394,1.2920748650718237,-26.948679889442587
FORECAST_DAYAHEAD_GFS,0.0,100.0,14,261.01459603053394,279.65849574700064,1.292074865083443,-26.94867989247541
