issue_time,target_day,role,horizon,base_family,candidate,eligible_residual_days,eligible_residual_rows,order_statistic_k,q85_residual,delta,negative_q85_floored,base_upper_min,base_upper_mean,base_upper_max,final_upper_min,final_upper_mean,final_upper_max,library_first_day,library_last_day,latest_included_availability_ns,membership_SHA256,status
2024-11-08 08:00:00+00:00,2024-11-09,CALIBRATION,H24,B2_L0,R85_B2,62,62,54,0.5405230265548937,0.5405230265548937,False,6003.062782435598,6003.062782435598,6003.062782435598,10307.403094484185,10307.403094484185,10307.403094484185,2024-09-01,2024-11-04,1730852865000000000,1f77d726160874045f237d19ed585bcd00db6b122fd42d40695a501bfda566fe,SUPPORTED
2024-11-08 08:00:00+00:00,2024-11-09,CALIBRATION,H4,B1,R85_B1,62,5022,4270,0.3450918097603388,0.3450918097603388,False,298.5433333333333,1446.2746886145394,3399.2458888888846,421.9910000900122,2042.7248965937865,4800.553728763988,2024-09-01,2024-11-04,1730852865000000000,4f4f776511b15f1ce68221b501df051593a0fa51972d24c80bb7a7fb771b4b1b,SUPPORTED
2024-11-08 08:00:00+00:00,2024-11-09,CALIBRATION,H4,B2_L0,R85_B2,62,5022,4270,0.7984928800588449,0.7984928800588449,False,218.76712098238468,764.7289291675758,1411.4155470432252,487.36414422647715,1700.5946313113598,3137.6547125000743,2024-09-01,2024-11-04,1730852865000000000,4f4f776511b15f1ce68221b501df051593a0fa51972d24c80bb7a7fb771b4b1b,SUPPORTED
2024-11-09 08:00:00+00:00,2024-11-10,CALIBRATION,H24,B1,R85_B1,63,63,55,0.5135286404127459,0.5135286404127459,False,3803.1151111111103,3803.1151111111103,3803.1151111111103,6356.352678522602,6356.352678522602,6356.352678522602,2024-09-01,2024-11-06,1731064986000000000,8488f4b0ca3430fd61b396b1f16d3c665f68829f1491986fe14a4a063958a141,SUPPORTED
2024-11-09 08:00:00+00:00,2024-11-10,CALIBRATION,H24,B2_L0,R85_B2,63,63,55,0.5405230265548937,0.5405230265548937,False,6569.393582027052,6569.393582027052,6569.393582027052,11279.739057407282,11279.739057407282,11279.739057407282,2024-09-01,2024-11-06,1731064986000000000,8488f4b0ca3430fd61b396b1f16d3c665f68829f1491986fe14a4a063958a141,SUPPORTED
2024-11-09 08:00:00+00:00,2024-11-10,CALIBRATION,H4,B1,R85_B1,63,5103,4339,0.34837813296993936,0.34837813296993936,False,378.3591666666665,930.034693072702,2339.699083333333,536.463880461517,1318.0600437575258,3315.227266564135,2024-09-01,2024-11-06,1731064986000000000,e669ec054fa7efbfd9193c98071baf5f0d9f2b4e126d56f196e66a7718a33c7c,SUPPORTED
2024-11-09 08:00:00+00:00,2024-11-10,CALIBRATION,H4,B2_L0,R85_B2,63,5103,4339,0.8047932956440045,0.8047932956440045,False,521.3951365813379,1343.4987457593782,1820.4391796756524,1167.1978764440073,3005.6140928423156,4072.1646081044805,2024-09-01,2024-11-06,1731064986000000000,e669ec054fa7efbfd9193c98071baf5f0d9f2b4e126d56f196e66a7718a33c7c,SUPPORTED
2024-11-10 08:00:00+00:00,2024-11-11,CALIBRATION,H24,B1,R85_B1,63,63,55,0.5135286404127459,0.5135286404127459,False,4448.599805555555,4448.599805555555,4448.599805555555,7435.072362684093,7435.072362684093,7435.072362684093,2024-09-01,2024-11-06,1731064986000000000,8488f4b0ca3430fd61b396b1f16d3c665f68829f1491986fe14a4a063958a141,SUPPORTED
2024-11-10 08:00:00+00:00,2024-11-11,CALIBRATION,H24,B2_L0,R85_B2,63,63,55,0.5405230265548937,0.5405230265548937,False,8483.867120046876,8483.867120046876,8483.867120046876,14566.707508397714,14566.707508397714,14566.707508397714,2024-09-01,2024-11-06,1731064986000000000,8488f4b0ca3430fd61b396b1f16d3c665f68829f1491986fe14a4a063958a141,SUPPORTED
2024-11-10 08:00:00+00:00,2024-11-11,CALIBRATION,H4,B1,R85_B1,63,5103,4339,0.34837813296993936,0.34837813296993936,False,465.3847499999999,953.5408772290806,1722.9165555555553,659.7589312408194,1351.362850336683,2441.389595279955,2024-09-01,2024-11-06,1731064986000000000,e669ec054fa7efbfd9193c98071baf5f0d9f2b4e126d56f196e66a7718a33c7c,SUPPORTED
