role,resolution,method,reference_resolution,reference_method,contrast,metric,delta,CI95_low,CI95_high,nonfinite_draws,draws,block_observed_days,N_days
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,high_load_coverage,0.0,0.0,0.0,0,2000,7,88
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,positive_coverage,0.0,-0.03125,0.038461538461538436,0,2000,7,88
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,normalized_Q50_pinball,-0.12120596046513876,-0.16153894410386924,-0.08372709185425693,0,2000,7,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,Q90_coverage,-0.06770833333333337,-0.10748106060606055,-0.0336174242424242,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,calibration_error,0.06770833333333337,0.0336174242424242,0.10748106060606055,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q90_pinball,-0.39369541857121726,-0.47506556551238394,-0.32166410732846057,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,requirement_ratio,-0.048349873088693984,-0.1279977066375156,0.026364782004944784,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,high_load_coverage,-0.007575757575757576,-0.025429161234245982,0.0,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,positive_coverage,-0.046279939977586615,-0.08966603224582365,-0.007991581438263015,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q50_pinball,-0.19864236293597715,-0.23399242631675635,-0.16438796394417307,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,Q90_coverage,-0.06770833333333337,-0.10842803030303028,-0.027450284090909157,0,2000,7,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,calibration_error,0.06770833333333337,0.027450284090909095,0.10842803030303028,0,2000,7,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q90_pinball,-0.39369541857121726,-0.4969951743988523,-0.2967572190517995,0,2000,7,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,requirement_ratio,-0.048349873088693984,-0.13210866107441188,0.043957314991405226,0,2000,7,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,high_load_coverage,-0.007575757575757576,-0.02459016393442623,0.0,0,2000,7,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,positive_coverage,-0.046279939977586615,-0.08839055753681035,0.0027061151385781228,0,2000,7,88
EXPOSED_EVALUATION,H6,DIRECT,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q50_pinball,-0.19864236293597715,-0.2497658627781313,-0.1480905827288371,0,2000,7,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,Q90_coverage,-0.06770833333333337,-0.10559895833333334,-0.03361742424242431,0,2000,1,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,calibration_error,0.06770833333333337,0.03361742424242431,0.10559895833333327,0,2000,1,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q90_pinball,-0.4228478504450567,-0.506922370936327,-0.3433152712777729,0,2000,1,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,requirement_ratio,-4.440892098500626e-16,-4.440892098500626e-16,2.220446049250313e-16,0,2000,1,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,high_load_coverage,-0.007575757575757576,-0.025429161234245982,0.0,0,2000,1,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,positive_coverage,-0.046279939977586615,-0.08752016770953235,-0.009595950504659308,0,2000,1,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q50_pinball,-0.07743640247083838,-0.08924298555934182,-0.06622062134275795,0,2000,1,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,Q90_coverage,-0.06770833333333337,-0.10037878787878785,-0.03645833333333337,0,2000,7,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,calibration_error,0.06770833333333337,0.03645833333333337,0.10037878787878785,0,2000,7,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q90_pinball,-0.4228478504450567,-0.5184635426359254,-0.3317869035458671,0,2000,7,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,requirement_ratio,-4.440892098500626e-16,-4.440892098500626e-16,2.220446049250313e-16,0,2000,7,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,high_load_coverage,-0.007575757575757576,-0.02459016393442623,0.0,0,2000,7,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,positive_coverage,-0.046279939977586615,-0.08279567379714654,-0.010204575106333876,0,2000,7,88
EXPOSED_EVALUATION,H6,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q50_pinball,-0.07743640247083838,-0.09164570592300968,-0.06268453581409528,0,2000,7,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,Q90_coverage,-0.016571969696969613,-0.049254261363636434,0.017045454545454475,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,calibration_error,0.016571969696969613,-0.017045454545454475,0.049254261363636365,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,normalized_Q90_pinball,0.08091638938502888,-0.017137672480087907,0.1732354724290042,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,requirement_ratio,-0.2913245653500086,-0.38738655771131025,-0.20887913694759797,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,high_load_coverage,-0.010989010989010985,-0.07817118226600984,0.03966855524079315,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,positive_coverage,-0.017911975435005112,-0.05373299408627371,0.01828256827776915,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,normalized_Q50_pinball,-0.19652257580268195,-0.27824916912870834,-0.114629331265886,0,2000,1,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,Q90_coverage,-0.016571969696969613,-0.04971590909090906,0.014204545454545414,0,2000,7,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,calibration_error,0.016571969696969613,-0.014204545454545414,0.04971590909090906,0,2000,7,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,normalized_Q90_pinball,0.08091638938502888,-0.01676982691358431,0.18774462841648157,0,2000,7,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,requirement_ratio,-0.2913245653500086,-0.38766324341609665,-0.2112622110929753,0,2000,7,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,high_load_coverage,-0.010989010989010985,-0.07942647058823529,0.035714285714285705,0,2000,7,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,positive_coverage,-0.017911975435005112,-0.05146031030614189,0.016004240292809342,0,2000,7,88
EXPOSED_EVALUATION,CUM,DIRECT,CUM,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,normalized_Q50_pinball,-0.19652257580268195,-0.29285310750251603,-0.10070617379325575,0,2000,7,88
