role,resolution,method,stratum,N,coverage,Q90_pinball_GPUh,normalized_Q90_pinball
MAY_HISTORICAL,H6,AGGREGATED_H1,high_load,21,0.2857142857142857,5758.254555096147,6.45517470106663
MAY_HISTORICAL,CUM,AGGREGATED_H1,zero,3,1.0,80.64071451338337,0.5424038432709097
MAY_HISTORICAL,CUM,AGGREGATED_H1,positive,741,0.8245614035087719,2597.5026431230126,1.4471411375793886
MAY_HISTORICAL,CUM,AGGREGATED_H1,high_load,140,0.1357142857142857,11234.803219351661,6.103514457874487
MAY_HISTORICAL,H1,DIRECT,zero,105,1.0,40.15124019014965,0.2700644100520242
MAY_HISTORICAL,H1,DIRECT,positive,639,0.8560250391236307,351.7550338148552,2.3659671591749314
MAY_HISTORICAL,H1,DIRECT,high_load,69,0.07246376811594203,2745.374396740387,18.465878346879055
MAY_HISTORICAL,H3,DIRECT,zero,8,1.0,135.9726635339411,0.30485880375126484
MAY_HISTORICAL,H3,DIRECT,positive,240,0.8458333333333333,736.9819836298867,1.652357467128374
MAY_HISTORICAL,H3,DIRECT,high_load,31,0.0967741935483871,4748.154578874219,10.645645141608632
MAY_HISTORICAL,H6,DIRECT,zero,1,1.0,329.25604532928065,0.3691058242817352
MAY_HISTORICAL,H6,DIRECT,positive,123,0.8130081300813008,1284.9521393245195,1.440469583705402
MAY_HISTORICAL,H6,DIRECT,high_load,21,0.047619047619047616,6469.829900294082,7.25287183693904
MAY_HISTORICAL,CUM,DIRECT,zero,3,1.0,224.16596840476106,1.5077803256952613
MAY_HISTORICAL,CUM,DIRECT,positive,741,0.7935222672064778,2981.2812553795575,1.640346321857467
MAY_HISTORICAL,CUM,DIRECT,high_load,140,0.08571428571428572,14195.34398241678,7.217078453914257
