day,rho_AIDC,status,coefficient_count,minimum_conservatism_kw,maximum_site_error_kw,maximum_aggregate_error_kw,site_error_threshold_kw,aggregate_error_threshold_kw
2025-02-13,1.0,PASS,1152,-1.4210854715202004e-14,4.590915111180038e-06,4.5926848990518465e-06,14.25,5.288087919579648
2025-02-14,0.1,PASS,1152,-1.4210854715202004e-14,6.293082243757908e-06,6.305240704662651e-06,14.25,5.288087919579648
2025-02-14,0.25,PASS,1152,-1.4210854715202004e-14,6.293082243757908e-06,6.305240704662651e-06,14.25,5.288087919579648
2025-02-14,0.5,PASS,1152,-1.4210854715202004e-14,6.293082243757908e-06,6.305240704662651e-06,14.25,5.288087919579648
2025-02-14,1.0,PASS,1152,-1.4210854715202004e-14,6.293082243757908e-06,6.305240704662651e-06,14.25,5.288087919579648
2025-02-15,0.1,PASS,1152,-1.4210854715202004e-14,1.1004665729785756e-05,1.10723955568659e-05,14.25,5.288087919579648
2025-02-15,0.25,PASS,1152,-1.4210854715202004e-14,1.1004665729785756e-05,1.10723955568659e-05,14.25,5.288087919579648
2025-02-15,0.5,PASS,1152,-1.4210854715202004e-14,1.1004665729785756e-05,1.10723955568659e-05,14.25,5.288087919579648
2025-02-15,1.0,PASS,1152,-1.4210854715202004e-14,1.1004665729785756e-05,1.10723955568659e-05,14.25,5.288087919579648
2025-02-16,0.1,PASS,1152,-1.4210854715202004e-14,1.0886022153044905e-05,1.0977525635169627e-05,14.25,5.288087919579648
2025-02-16,0.25,PASS,1152,-1.4210854715202004e-14,1.0886022153044905e-05,1.0977525635169627e-05,14.25,5.288087919579648
2025-02-16,0.5,PASS,1152,-1.4210854715202004e-14,1.0886022153044905e-05,1.0977525635169627e-05,14.25,5.288087919579648
2025-02-16,1.0,PASS,1152,-1.4210854715202004e-14,1.0886022153044905e-05,1.0977525635169627e-05,14.25,5.288087919579648
2025-02-17,0.1,PASS,1152,-1.4210854715202004e-14,8.209504215983543e-06,8.248174536262809e-06,14.25,5.288087919579648
2025-02-17,0.25,PASS,1152,-1.4210854715202004e-14,8.209504215983543e-06,8.248174536262809e-06,14.25,5.288087919579648
2025-02-17,0.5,PASS,1152,-1.4210854715202004e-14,8.209504215983543e-06,8.248174536262809e-06,14.25,5.288087919579648
2025-02-17,1.0,PASS,1152,-1.4210854715202004e-14,8.209504215983543e-06,8.248174536262809e-06,14.25,5.288087919579648
2025-02-18,0.1,PASS,1152,-1.4210854715202004e-14,7.359555063146672e-06,7.3807548837123704e-06,14.25,5.288087919579648
2025-02-18,0.25,PASS,1152,-1.4210854715202004e-14,7.359555063146672e-06,7.3807548837123704e-06,14.25,5.288087919579648
2025-02-18,0.5,PASS,1152,-1.4210854715202004e-14,7.359555063146672e-06,7.3807548837123704e-06,14.25,5.288087919579648
2025-02-18,1.0,PASS,1152,-1.4210854715202004e-14,7.359555063146672e-06,7.3807548837123704e-06,14.25,5.288087919579648
2025-02-19,0.1,PASS,1152,-1.4210854715202004e-14,7.60122162546395e-06,7.6231380017333095e-06,14.25,5.288087919579648
2025-02-19,0.25,PASS,1152,-1.4210854715202004e-14,7.60122162546395e-06,7.6231380017333095e-06,14.25,5.288087919579648
2025-02-19,0.5,PASS,1152,-1.4210854715202004e-14,7.60122162546395e-06,7.6231380017333095e-06,14.25,5.288087919579648
2025-02-19,1.0,PASS,1152,-1.4210854715202004e-14,7.60122162546395e-06,7.6231380017333095e-06,14.25,5.288087919579648
2025-02-20,0.1,PASS,1152,-1.4210854715202004e-14,7.582056177568575e-06,7.6028226310143054e-06,14.25,5.288087919579648
2025-02-20,0.25,PASS,1152,-1.4210854715202004e-14,7.582056177568575e-06,7.6028226310143054e-06,14.25,5.288087919579648
2025-02-20,0.5,PASS,1152,-1.4210854715202004e-14,7.582056177568575e-06,7.6028226310143054e-06,14.25,5.288087919579648
2025-02-20,1.0,PASS,1152,-1.4210854715202004e-14,7.582056177568575e-06,7.6028226310143054e-06,14.25,5.288087919579648
2025-02-21,0.1,PASS,1152,-1.4210854715202004e-14,5.93795171965894e-06,5.9539421624066335e-06,14.25,5.288087919579648
