job_uid,GPU,D1_state,B0_site,B1_site,B0_downstream,B1_downstream,B0_REFERENCE,TEMPORAL_ONLY,SPATIAL_ONLY_PENDING,JOINT_WITHOUT_RUNNING_MIGRATION,JOINT_B1,temporal,spatial,interaction,migration,total,B0_REFERENCE_start,B0_REFERENCE_finish,TEMPORAL_ONLY_start,TEMPORAL_ONLY_finish,SPATIAL_ONLY_PENDING_start,SPATIAL_ONLY_PENDING_finish,JOINT_WITHOUT_RUNNING_MIGRATION_start,JOINT_WITHOUT_RUNNING_MIGRATION_finish,JOINT_B1_start,JOINT_B1_finish
8632499,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,7.514444444444444,0.0,7.514444444444444,0.0,7.514444444444444,0.0,7.514444444444444,0.0,7.514444444444444
8632500,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,8.59,0.0,8.59,0.0,8.59,0.0,8.59,0.0,8.59
8632501,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,21.723333333333333,0.0,21.723333333333333,0.0,21.723333333333333,0.0,21.723333333333333,0.0,21.723333333333333
8632502,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,37.876666666666665,0.0,37.876666666666665,0.0,37.876666666666665,0.0,37.876666666666665,0.0,37.876666666666665
8632503,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,26.362222222222222,0.0,26.362222222222222,0.0,26.362222222222222,0.0,26.362222222222222,0.0,26.362222222222222
8632504,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,22.875555555555554,0.0,22.875555555555554,0.0,22.875555555555554,0.0,22.875555555555554,0.0,22.875555555555554
8632505,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,21.275555555555556,0.0,21.275555555555556,0.0,21.275555555555556,0.0,21.275555555555556,0.0,21.275555555555556
8632506,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,11.623333333333333,0.0,11.623333333333333,0.0,11.623333333333333,0.0,11.623333333333333,0.0,11.623333333333333
8632507,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,25.763333333333332,0.0,25.763333333333332,0.0,25.763333333333332,0.0,25.763333333333332,0.0,25.763333333333332
8632508,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,22.136666666666667,0.0,22.136666666666667,0.0,22.136666666666667,0.0,22.136666666666667,0.0,22.136666666666667
