operating_day,slot15,actual_GPUh,safe_GPUh,shortfall_GPUh,burst_probability,burst_flag,false_negative,actual_N_label_only
2025-02-13,38,4555.611388888889,1609.3172222222217,2946.2941666666675,0.07542271,True,False,270
2025-02-19,33,4513.648333333332,1609.3172222222217,2904.3311111111097,0.043535516,True,False,27
2025-01-28,75,2957.733055555554,61.41404494007571,2896.3190106154784,0.00915856,False,True,157
2025-01-09,71,4242.088055555559,1609.3172222222217,2632.7708333333367,0.02057864,True,False,454
2025-01-24,66,4005.3724999999968,1609.3172222222217,2396.055277777775,0.040244285,True,False,280
2024-12-04,11,3845.8919444444477,1609.3172222222217,2236.5747222222262,0.07206562,True,False,146
2024-12-01,6,3845.3855555555556,1609.3172222222217,2236.0683333333336,0.029297521,True,False,142
2024-12-18,24,2291.3325000000027,59.04034410583145,2232.292155894171,0.012528569,False,True,193
2025-01-18,25,3840.9388888888893,1609.3172222222217,2231.621666666668,0.054898463,True,False,7
2025-02-11,18,3787.906944444445,1609.3172222222217,2178.589722222223,0.030858347,True,False,17
2024-12-28,27,2017.951111111111,59.114896200448754,1958.8362149106622,0.012087641,False,True,86
2025-01-11,70,3545.3786111111144,1609.3172222222217,1936.0613888888927,0.019101148,True,False,361
2025-02-22,40,1920.1544444444446,53.80689101382206,1866.3475534306226,0.013209322,False,True,4
2025-01-07,39,3142.7158333333264,1609.3172222222217,1533.3986111111046,0.05060336,True,False,325
2025-01-01,79,1532.6241666666665,42.00300305929451,1490.621163607372,0.0068505257,False,True,174
2024-12-27,46,1507.6605555555545,41.94568090310729,1465.7148746524472,0.007483035,False,True,163
2025-01-23,42,3038.459722222223,1609.3172222222217,1429.142500000001,0.030551475,True,False,62
2025-02-22,14,3038.11,1609.3172222222217,1428.7927777777784,0.025167428,True,False,9
2025-02-08,73,1407.0211111111107,0.37206120250029223,1406.6490499086103,0.0067521203,False,True,198
2024-12-25,8,1377.06,0.0,1377.06,0.009450648,False,True,6
2024-12-18,25,1421.4688888888886,57.03423672850846,1364.4346521603802,0.014678771,False,True,206
2024-12-28,26,1371.5691666666671,62.71643200506358,1308.8527346616036,0.011634902,False,True,61
2025-01-19,44,2742.223888888886,1609.3172222222217,1132.9066666666643,0.022542099,True,False,68
2024-12-19,8,1151.278055555556,46.38875777247413,1104.889297783082,0.0129402345,False,True,87
2024-12-14,70,1054.72,5.99650662540685,1048.723493374593,0.0047063953,False,True,1
2025-01-20,75,2599.101111111114,1609.3172222222217,989.7838888888921,0.030103622,True,False,820
2025-01-13,63,2581.167777777779,1609.3172222222217,971.8505555555573,0.04413054,True,False,325
2024-12-28,3,1014.9911111111112,52.53145596139784,962.4596551497134,0.010405868,False,True,6
2024-12-30,5,867.0288888888889,25.127621620926085,841.9012672679628,0.011068146,False,True,11
2024-12-18,69,891.4933333333333,62.130790741008994,829.3625425923243,0.009507831,False,True,1
2025-01-30,37,2403.152777777778,1609.3172222222217,793.8355555555561,0.13269505,True,False,224
2025-02-13,96,829.8588888888889,37.27728915054271,792.5815997383462,0.0054258346,False,True,2
2025-01-27,33,2387.0191666666665,1609.3172222222217,777.7019444444447,0.06848698,True,False,66
2024-12-30,1,789.4711111111111,28.847795826768483,760.6233152843427,0.009089713,False,True,3
2025-01-07,12,2329.321111111111,1609.3172222222217,720.0038888888892,0.11871999,True,False,6
2025-01-17,56,2318.3872222222226,1609.3172222222217,709.0700000000008,0.044994526,True,False,107
2025-01-07,42,2317.0594444444446,1609.3172222222217,707.7422222222228,0.028819159,True,False,201
2025-01-07,14,2310.8283333333334,1609.3172222222217,701.5111111111116,0.0827447,True,False,7
2024-12-28,5,747.8083333333333,49.21178133712429,698.596551996209,0.009365127,False,True,24
2024-12-19,49,731.1655555555556,39.416786859318925,691.7487686962367,0.009124266,False,True,5
