day,case,slot,da_authorized_nodeh,actual_available_nodeh,executed_original_rack_nodeh,executed_same_site_recourse_nodeh,executed_cross_site_recourse_nodeh,source_unavailable_nodeh,true_rack_capacity_limit_nodeh,grid_safety_blocked_nodeh,other_explicit_nodeh,terminal_backlog_nodeh,executed_total_nodeh,authorization_identity_error_nodeh,planning_Vmin_pu,planning_Vmax_pu,planning_rho_max,planning_transformer_kva_loading_max,planning_voltage_violation,planning_current_violation,planning_transformer_violation
2025-04-04,B1,68,1.9133038372535056,1.198621289289131,0.17481371604580387,0.0,1.0238075732433272,0.7146825479643746,2.220446049250313e-16,0.0,0.0,27.643723949505635,1.198621289289131,-2.220446049250313e-16,0.9868329687392189,1.0414377794906529,0.600787038157803,0.531764115238006,False,False,False
2025-04-04,B1,69,0.11935906626829178,0.030100558493769535,3.3869427593013415e-07,0.0,0.030100219799493604,0.08925850777452224,0.0,0.0,0.0,27.613623391011863,0.030100558493769535,0.0,0.988078426702565,1.0431294174537131,0.5976871365821805,0.5487622537757927,False,False,False
2025-04-04,B1,70,1.3610987225872309,0.9663877680901362,0.003284430244031079,0.0,0.963103337846105,0.3947109544970947,0.0,1.1102230246251565e-16,0.0,26.647235622921727,0.9663877680901362,-2.220446049250313e-16,0.9870810413491026,1.042527793196724,0.6152464853782234,0.5566261724356659,False,False,False
2025-04-04,B1,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.647235622921727,0.0,0.0,0.9873355970872173,1.043218258814718,0.6127058465855616,0.5596179949648581,False,False,False
2025-04-04,B1,72,0.2899705229825791,0.0,0.0,0.0,0.0,0.2899705229825791,0.0,0.0,0.0,26.647235622921727,0.0,0.0,0.9864139172327854,1.0427231139176192,0.6243208014571195,0.5573479656983384,False,False,False
2025-04-04,B1,73,1.5484453893907757,0.46956696341759724,0.0004640617535860779,0.0,0.46910290166401114,1.0788784259731785,0.0,0.0,0.0,26.177668659504132,0.46956696341759724,0.0,0.9868323365694109,1.0434159526097582,0.625404268230285,0.5720841246126477,False,False,False
2025-04-04,B1,74,0.6076643537845265,0.5366823202489337,3.28453442555789e-07,0.0,0.5366819917954911,0.07098203353559285,0.0,0.0,0.0,25.6409863392552,0.5366823202489337,0.0,0.9867024266997139,1.0433369756522413,0.6272415608036958,0.5646727201973085,False,False,False
2025-04-04,B1,75,0.7471408937503322,0.7471408937503322,0.012791078092578536,0.0,0.7343498156577536,0.0,1.1102230246251565e-16,0.0,0.0,24.89384544550487,0.7471408937503321,0.0,0.9871696475137859,1.0438055812849945,0.6276257144187446,0.5619826508792953,False,False,False
2025-04-04,B1,76,0.7923755674389237,0.44670436566700006,0.0002472984804616519,0.0,0.4464570671865384,0.3456712017719236,0.0,0.0,0.0,24.44714107983787,0.44670436566700006,0.0,0.9878154875878842,1.0441668180466852,0.6193485941021175,0.5626101218100736,False,False,False
2025-04-04,B1,77,1.7898777163909891,1.7897474599760583,0.34299497977178695,0.15922046796841427,1.2875320122358573,0.0001302564149308072,0.0,0.0,0.0,22.65739361986181,1.7897474599760586,-2.220446049250313e-16,0.9877302585435627,1.0443925942841492,0.621896026830631,0.5590190564876648,False,False,False
2025-04-04,B1,78,2.2602927686217313,1.811669202070221,0.2911444596018256,0.2886439674687998,1.231880774999596,0.44862356655151037,2.220446049250313e-16,0.0,0.0,20.84572441779159,1.8116692020702212,0.0,0.9886287107847428,1.0448884380725982,0.6109719117275119,0.5529139042085648,False,False,False
2025-04-04,B1,79,0.6558329607027994,0.6558329607027994,0.0004241805267606681,0.0,0.6554087801760389,0.0,0.0,0.0,0.0,20.18989145708879,0.6558329607027995,-1.1102230246251565e-16,0.9891610736936085,1.045617069678941,0.6087665091754307,0.5447671265753986,False,False,False
2025-04-04,B1,80,0.6217520215227278,0.6217520215227278,0.00047641518810212025,0.0,0.6212756063346258,0.0,0.0,0.0,0.0,20.015361657788286,0.6217520215227279,-1.1102230246251565e-16,0.9903476875303356,1.0466642413795733,0.5890175438440699,0.5242146835294058,False,False,False
2025-04-04,B1,81,3.139112533530523,2.389621342443488,0.7795679282715212,0.7659180307710695,0.8441353834008973,0.7494911910870354,0.0,4.440892098500626e-16,0.0,17.6257403153448,2.389621342443488,-4.440892098500626e-16,0.9901863700609417,1.0468034610547485,0.5914588625482486,0.5210766702708522,False,False,False
2025-04-04,B1,82,1.3068813753729114,0.9917480246878428,0.20890781333322134,0.0,0.7828402113546215,0.31513335068506854,0.0,0.0,0.0,16.633992290656956,0.9917480246878427,2.220446049250313e-16,0.9913307795256041,1.047510618501421,0.5743112336452226,0.5109193446665876,False,False,False
