role,state,candidate,reference,metric,estimate,CI95_low,CI95_high,block_days,draws,nonfinite_draws,N_days,N_pairs,interpretation
MAY_HISTORICAL,PENDING,R3,R2,reserved_GPUh,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,reserve_vs_requested,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,pinball_Q90,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,pinball_Q95,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,overreserve_vs_requested,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R2,missed_slots_reduction,0.0,0.0,0.0,7,2000,0,29,40419,relative reduction
MAY_HISTORICAL,PENDING,R1,R0,coverage,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,GPU_coverage,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,long_under,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,missed_GPU_slots,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,overreserved_GPUh,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,reserved_GPUh,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,reserve_vs_requested,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,pinball_Q90,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,pinball_Q95,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,overreserve_vs_requested,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,missed_slots_reduction,0.0,0.0,0.0,1,2000,0,29,40419,relative reduction
MAY_HISTORICAL,PENDING,R1,R0,coverage,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,GPU_coverage,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,long_under,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,missed_GPU_slots,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,overreserved_GPUh,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,reserved_GPUh,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,reserve_vs_requested,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,pinball_Q90,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,pinball_Q95,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,overreserve_vs_requested,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R1,R0,missed_slots_reduction,0.0,0.0,0.0,7,2000,0,29,40419,relative reduction
MAY_HISTORICAL,PENDING,R2,R0,coverage,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,GPU_coverage,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,long_under,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,missed_GPU_slots,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,overreserved_GPUh,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,reserved_GPUh,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,reserve_vs_requested,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,pinball_Q90,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,pinball_Q95,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,overreserve_vs_requested,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,missed_slots_reduction,0.0,0.0,0.0,1,2000,0,29,40419,relative reduction
MAY_HISTORICAL,PENDING,R2,R0,coverage,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,GPU_coverage,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,long_under,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,missed_GPU_slots,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,overreserved_GPUh,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,reserved_GPUh,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,reserve_vs_requested,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,pinball_Q90,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,pinball_Q95,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,overreserve_vs_requested,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R2,R0,missed_slots_reduction,0.0,0.0,0.0,7,2000,0,29,40419,relative reduction
MAY_HISTORICAL,PENDING,R3,R0,coverage,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,GPU_coverage,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,long_under,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,missed_GPU_slots,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,overreserved_GPUh,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,reserved_GPUh,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,reserve_vs_requested,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,pinball_Q90,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,pinball_Q95,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,overreserve_vs_requested,0.0,0.0,0.0,1,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,missed_slots_reduction,0.0,0.0,0.0,1,2000,0,29,40419,relative reduction
MAY_HISTORICAL,PENDING,R3,R0,coverage,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,GPU_coverage,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,long_under,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,missed_GPU_slots,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,overreserved_GPUh,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,reserved_GPUh,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,reserve_vs_requested,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,pinball_Q90,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,pinball_Q95,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,overreserve_vs_requested,0.0,0.0,0.0,7,2000,0,29,40419,candidate-minus-reference
MAY_HISTORICAL,PENDING,R3,R0,missed_slots_reduction,0.0,0.0,0.0,7,2000,0,29,40419,relative reduction
MAY_HISTORICAL,RUNNING,R3,R1,coverage,0.05641170648946703,0.02954522347040699,0.09049606790782598,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,GPU_coverage,0.036114653957172616,0.017586789854315398,0.060995401490830534,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,long_under,-0.059868320318481105,-0.09708984609015404,-0.03059383758867062,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,missed_GPU_slots,-16439.0,-36614.575,-4547.100000000005,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,overreserved_GPUh,15123.037044900702,9870.51598869392,22658.631206124697,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,reserved_GPUh,26295.94210485043,16055.752059539329,39796.78773613778,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,reserve_vs_requested,0.05133564574400595,0.032816556721880365,0.07470286577188541,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,pinball_Q90,-2803.2018632352574,-7839.538222561758,-327.46743263173283,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,pinball_Q95,-3171.1045298584468,-8475.11536973542,-560.9783929993258,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,overreserve_vs_requested,0.07536363439219484,0.05027529539908289,0.11263593325988927,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,missed_slots_reduction,0.3891624449599924,0.19836174038982357,0.63227807492641,1,2000,0,31,7073,relative reduction
MAY_HISTORICAL,RUNNING,R3,R1,coverage,0.05641170648946703,0.02987012295115977,0.07969689924031836,7,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,GPU_coverage,0.036114653957172616,0.016720457183315378,0.05789992713857474,7,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,long_under,-0.059868320318481105,-0.08571725571725575,-0.03093588399861327,7,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,missed_GPU_slots,-16439.0,-33279.45,-5029.800000000001,7,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,overreserved_GPUh,15123.037044900702,10025.702540155607,21942.67604620235,7,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,reserved_GPUh,26295.94210485043,17181.128159699696,35444.144297631814,7,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,reserve_vs_requested,0.05133564574400595,0.0359973942454113,0.06786960510500864,7,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,pinball_Q90,-2803.2018632352574,-6756.02472402782,-304.83913246332475,7,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,pinball_Q95,-3171.1045298584468,-7313.252671332341,-533.3993327590372,7,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,overreserve_vs_requested,0.07536363439219484,0.051677513052840074,0.10328516311675304,7,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R1,missed_slots_reduction,0.3891624449599924,0.32655573071847394,0.6135487724357664,7,2000,0,31,7073,relative reduction
MAY_HISTORICAL,RUNNING,R3,R2,coverage,-0.03633535981903013,-0.07186639124023092,-0.009291547843723665,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R2,GPU_coverage,-0.04349869101161308,-0.09076032973005213,-0.014624579596811748,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R2,long_under,0.03935078854693003,0.009914811403917152,0.07952719299945782,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R2,missed_GPU_slots,9336.0,931.9,23488.0,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R2,overreserved_GPUh,-37680.363954352564,-48442.88986777492,-27594.749811633228,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R2,reserved_GPUh,-46820.89219962421,-61540.88125254655,-33777.08629749417,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R2,reserve_vs_requested,-0.0914050056010296,-0.11726902400974015,-0.06854481325403451,1,2000,0,31,7073,candidate-minus-reference
MAY_HISTORICAL,RUNNING,R3,R2,pinball_Q90,1811.712479539694,125.08040898689174,3965.4140262101664,1,2000,0,31,7073,candidate-minus-reference
