issue_time,role,N_training,N_queries,learned,latest_training_end,membership_sha256,feature_available_time
2025-05-10 08:00:00+00:00,MAY_HISTORICAL,10327,430,True,2025-05-10 07:26:03+00:00,ba714473dcdc2b04cb0b1f1a90ac357e5e43d504d52d7fe003e416809913501b,2025-05-10 08:00:00+00:00
2025-05-11 08:00:00+00:00,MAY_HISTORICAL,10716,160,True,2025-05-11 06:33:48+00:00,07d459ffc6a46f123b6a427b28944b88841e8486737794533bb76571da6e8375,2025-05-11 08:00:00+00:00
2025-05-12 08:00:00+00:00,MAY_HISTORICAL,10809,333,True,2025-05-12 07:45:31+00:00,ac54a53831a10e202a8a3dd7e9bee27fcd2cbb5ff911f8b4ddefd2196eff390a,2025-05-12 08:00:00+00:00
2025-05-13 08:00:00+00:00,MAY_HISTORICAL,11106,311,True,2025-05-13 07:23:54+00:00,383ef6363d66ffa7373ed6c2c91c1ef09d084dc22676f5008be4480a2589a8ed,2025-05-13 08:00:00+00:00
2025-05-14 08:00:00+00:00,MAY_HISTORICAL,11345,260,True,2025-05-14 07:55:10+00:00,17aa4a1b8054d4b6e3873b0c8a4a8384ebc888f08d6e9fc247f0f729507c42d8,2025-05-14 08:00:00+00:00
2025-05-15 08:00:00+00:00,MAY_HISTORICAL,11541,360,True,2025-05-15 07:15:03+00:00,c7ec114085f4b831c2b9149a320309d4d2ba8b925bc8cc1a8577ae48f933a300,2025-05-15 08:00:00+00:00
2025-05-16 08:00:00+00:00,MAY_HISTORICAL,11814,278,True,2025-05-16 04:02:54+00:00,c1efa0aaa3d1a77ebc32e6ab782d4fb0a1b5d597d25f8fbca4d5cd49652c5867,2025-05-16 08:00:00+00:00
2025-05-17 08:00:00+00:00,MAY_HISTORICAL,12018,158,True,2025-05-17 07:15:23+00:00,6c7b3904903088f7cc4260598ef9035cae2f464f9f383d070d4b666bfb58ac7b,2025-05-17 08:00:00+00:00
2025-05-18 08:00:00+00:00,MAY_HISTORICAL,12066,203,True,2025-05-18 06:34:39+00:00,c8a2bead7a8d39859e667bbf778a134dc5d4d383f028d1b643712bf18c43a79e,2025-05-18 08:00:00+00:00
2025-05-19 08:00:00+00:00,MAY_HISTORICAL,12198,202,True,2025-05-19 05:20:07+00:00,de6abc5f6c294c03ba4e8d57a7f3f6b2e9be12a384108fff169d7ab9ca0d0d3b,2025-05-19 08:00:00+00:00
2025-05-20 08:00:00+00:00,MAY_HISTORICAL,12328,132,True,2025-05-20 07:53:20+00:00,7dc58d5cfc8d0b953f24d57f95e96704bc92f6bef53b50df06e10d6f8cbfaa29,2025-05-20 08:00:00+00:00
2025-05-21 08:00:00+00:00,MAY_HISTORICAL,12376,122,True,2025-05-21 01:28:27+00:00,71dc8683885267f89a638f451f69416d91a61d3bbdec6cf27025921aea377e67,2025-05-21 08:00:00+00:00
2025-05-22 08:00:00+00:00,MAY_HISTORICAL,12427,136,True,2025-05-22 07:32:25+00:00,60d6fc431d55e334cfe2960d5f1f272714c51a165f6bd7add127296b7f91a63c,2025-05-22 08:00:00+00:00
2025-05-23 08:00:00+00:00,MAY_HISTORICAL,12537,72,True,2025-05-23 05:52:42+00:00,edc26d7908a6c98bd4b8b4be8812979f16dfe7950aee77705eb93bccae499b6d,2025-05-23 08:00:00+00:00
2025-05-24 08:00:00+00:00,MAY_HISTORICAL,12572,76,True,2025-05-24 06:05:50+00:00,be375b955bfdeb7c6c1d6e1a055212345e5e120cab885dc33ac1eca1e9839e7b,2025-05-24 08:00:00+00:00
2025-05-25 08:00:00+00:00,MAY_HISTORICAL,12617,109,True,2025-05-25 07:07:54+00:00,1bddb3e7345d8f8d54817c3c7ff6f75f3f354c1c15be799dd289c653484c8f4c,2025-05-25 08:00:00+00:00
2025-05-26 08:00:00+00:00,MAY_HISTORICAL,12686,73,True,2025-05-26 06:06:01+00:00,3fd00dbe96591b45e5f1bbc4e32eb50db165d5b4ba650c64f0357d34470e0f82,2025-05-26 08:00:00+00:00
2025-05-27 08:00:00+00:00,MAY_HISTORICAL,12730,66,True,2025-05-27 06:39:35+00:00,01d740420a84791a5a54ce9fb9a76388f8d16cdd718537c6b267123ff5795872,2025-05-27 08:00:00+00:00
2025-05-28 08:00:00+00:00,MAY_HISTORICAL,12766,106,True,2025-05-28 05:48:18+00:00,939a4468b3fa0b9a5ecb2fb8e07f35125deee6ae2ac460977226642df4eb9c02,2025-05-28 08:00:00+00:00
2025-05-29 08:00:00+00:00,MAY_HISTORICAL,12834,171,True,2025-05-29 07:43:11+00:00,18a2fc47c3d1cbe01e6450cf3fe5f7cc4ec16bf28b2298ca088e00a1d03fd298,2025-05-29 08:00:00+00:00
2025-05-30 08:00:00+00:00,MAY_HISTORICAL,12905,160,True,2025-05-30 04:34:29+00:00,fe6eb5c279cda5d4539cbb38ce6db43b0bfb88cbdc972dd3263656581b146e30,2025-05-30 08:00:00+00:00
