u_hours,body,classifier,policy,role,body_gate,tail_gate,nontrivial_flagging_gate,hybrid_gate,temporal_gate,PASS_gate,reference_only_gate,tail_N,tail_recall,GPU_tail_recall,ECE,mass_capture,flagged_fraction,GPU_mass_ratio,overreservation_ratio
6,B0,C1,R1,CALIBRATION,False,False,False,False,False,False,True,500,1.0,1.0,0.25340131143856287,1.0,1.0,0.007447076110998035,12.14239875297792
6,B0,C2,R0,CALIBRATION,False,False,False,False,True,False,True,500,1.0,1.0,0.1305214241864374,1.0,1.0,1.0,1.0
6,B0,C2,R1,CALIBRATION,False,False,False,False,False,False,True,500,1.0,1.0,0.1305214241864374,1.0,1.0,0.007447076110998035,12.14239875297792
6,B0,C3,R0,CALIBRATION,False,False,False,False,True,False,True,500,1.0,1.0,0.14590745759829482,1.0,1.0,1.0,1.0
6,B0,C3,R1,CALIBRATION,False,False,False,False,False,False,True,500,1.0,1.0,0.14590745759829482,1.0,1.0,0.007447076110998035,12.14239875297792
6,B1,C0,R0,CALIBRATION,False,True,False,False,True,False,,500,1.0,1.0,0.027821698155344216,1.0,1.0,1.0,1.0
6,B1,C0,R1,CALIBRATION,False,True,False,False,False,False,,500,1.0,1.0,0.027821698155344216,1.0,1.0,0.007447076110998035,12.14239875297792
6,B1,C1,R0,CALIBRATION,False,False,False,False,True,False,,500,1.0,1.0,0.25340131143856287,1.0,1.0,1.0,1.0
6,B1,C1,R1,CALIBRATION,False,False,False,False,False,False,,500,1.0,1.0,0.25340131143856287,1.0,1.0,0.007447076110998035,12.14239875297792
6,B1,C2,R0,CALIBRATION,False,False,False,False,True,False,,500,1.0,1.0,0.1305214241864374,1.0,1.0,1.0,1.0
6,B1,C2,R1,CALIBRATION,False,False,False,False,False,False,,500,1.0,1.0,0.1305214241864374,1.0,1.0,0.007447076110998035,12.14239875297792
6,B1,C3,R0,CALIBRATION,False,False,False,False,True,False,,500,1.0,1.0,0.14590745759829482,1.0,1.0,1.0,1.0
6,B1,C3,R1,CALIBRATION,False,False,False,False,False,False,,500,1.0,1.0,0.14590745759829482,1.0,1.0,0.007447076110998035,12.14239875297792
6,B2,C0,R0,CALIBRATION,False,True,False,False,True,False,,500,1.0,1.0,0.027821698155344216,1.0,1.0,1.0,1.0
6,B2,C0,R1,CALIBRATION,False,True,False,False,False,False,,500,1.0,1.0,0.027821698155344216,1.0,1.0,0.007447076110998035,12.14239875297792
6,B2,C1,R0,CALIBRATION,False,False,False,False,True,False,,500,1.0,1.0,0.25340131143856287,1.0,1.0,1.0,1.0
6,B2,C1,R1,CALIBRATION,False,False,False,False,False,False,,500,1.0,1.0,0.25340131143856287,1.0,1.0,0.007447076110998035,12.14239875297792
6,B2,C2,R0,CALIBRATION,False,False,False,False,True,False,,500,1.0,1.0,0.1305214241864374,1.0,1.0,1.0,1.0
6,B2,C2,R1,CALIBRATION,False,False,False,False,False,False,,500,1.0,1.0,0.1305214241864374,1.0,1.0,0.007447076110998035,12.14239875297792
6,B2,C3,R0,CALIBRATION,False,False,False,False,True,False,,500,1.0,1.0,0.14590745759829482,1.0,1.0,1.0,1.0
6,B2,C3,R1,CALIBRATION,False,False,False,False,False,False,,500,1.0,1.0,0.14590745759829482,1.0,1.0,0.007447076110998035,12.14239875297792
6,B3,C0,R0,CALIBRATION,True,True,False,False,True,False,,500,1.0,1.0,0.027821698155344216,1.0,1.0,1.0,1.0
6,B3,C0,R1,CALIBRATION,True,True,False,False,False,False,,500,1.0,1.0,0.027821698155344216,1.0,1.0,0.007447076110998035,12.14239875297792
6,B3,C1,R0,CALIBRATION,True,False,False,False,True,False,,500,1.0,1.0,0.25340131143856287,1.0,1.0,1.0,1.0
6,B3,C1,R1,CALIBRATION,True,False,False,False,False,False,,500,1.0,1.0,0.25340131143856287,1.0,1.0,0.007447076110998035,12.14239875297792
6,B3,C2,R0,CALIBRATION,True,False,False,False,True,False,,500,1.0,1.0,0.1305214241864374,1.0,1.0,1.0,1.0
6,B3,C2,R1,CALIBRATION,True,False,False,False,False,False,,500,1.0,1.0,0.1305214241864374,1.0,1.0,0.007447076110998035,12.14239875297792
6,B3,C3,R0,CALIBRATION,True,False,False,False,True,False,,500,1.0,1.0,0.14590745759829482,1.0,1.0,1.0,1.0
6,B3,C3,R1,CALIBRATION,True,False,False,False,False,False,,500,1.0,1.0,0.14590745759829482,1.0,1.0,0.007447076110998035,12.14239875297792
8,B0,C0,R0,DEVELOPMENT,False,False,False,False,True,False,True,1490,1.0,1.0,0.19410449867936128,1.0,1.0,1.0,1.0
