session_id,GPU_type,source_relative_path,nominal_sampling_interval_seconds,nominal_sampling_frequency_Hz,duration_seconds,delta_median_seconds,delta_P05_seconds,delta_P95_seconds,delta_min_seconds,delta_max_seconds,duplicate_timestamps,non_monotonic_rows,gap_count,gap_rule,native_or_resampled,source_archive_sha256,source_code_commit
session_b766d1447a6139d6,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/H100/DeepSpeed_parallel_sitting/LLM_H100_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z1_BatchSize16.csv,0.02,50.0,899.980012,0.02,0.019958,0.020041,0.005131,0.157533,0,0,124,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_bb71d18337f6428e,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/Sequance_length_cut/LLM_B200_8GPU_Node_Lamma8B_SeqLength1024_Deepspeedds_z3_BatchSize16.csv,0.02,50.0,899.979933,0.019999,0.019833,0.020143,0.00594,0.165049,0,0,407,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_bf0b68f6712ed2f0,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Batch_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize32_BatchSize256.csv,0.02,50.0,899.979797,0.02,0.019974,0.020017,0.009718,0.092542,0,0,239,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_c039c2ab813da456,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Captioning/BatchSize/Single_machine_EmbedDim256_HiddenUnit512_batchsize1024.CSV,0.1,10.0,953.09,0.094,0.091,0.103,0.078,0.119,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_c20165c633d92796,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/optimizer type/Single_machine_OptimizerSGD_NumFilter8_ImageSize112_batchsize1500.CSV,0.1,10.0,948.674,0.093,0.09,0.107,0.037,0.161,0,0,3,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_c43e74c742d39bf0,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/LayerSize/Single_machine_InputTypeSequance_Sequancelength250_LayerSize512_batchsize150.CSV,0.1,10.0,950.055,0.094,0.091,0.104,0.022,0.223,0,0,20,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_c4fd7f45a9a511fe,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Input secaunce Length/Single_machine_NumLayer6_SeqLength192_LayerSize500_batchsize100.CSV,0.1,10.0,930.736,0.093,0.091,0.1,0.065,0.163,0,1,1,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_c6449aeb96e706a9,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Model Size/Single_machine_NumLayer6_SeqLength96_LayerSize1500_batchsize100.CSV,0.1,10.0,952.654,0.093,0.09,0.1,0.067,0.132,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_c87679f6b5d48b01,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/Sequance_length_cut/LLM_B200_8GPU_Node_Lamma8B_SeqLength4096_Deepspeedds_z3_BatchSize16.csv,0.02,50.0,899.980017,0.019999,0.019847,0.020137,0.006371,0.146787,0,0,330,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_cd37a26480121e37,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Captioning/numHiddenUnits Size/Single_machine_EmbedDim256_HiddenUnit2048_batchsize256.CSV,0.1,10.0,953.136,0.094,0.091,0.098,0.055,0.156,0,0,1,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_cdf1fca8b3548d57,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/Number of Filters/Single_machine_OptimizerAdam_NumFilter32_ImageSize112_batchsize1500.CSV,0.1,10.0,951.486,0.093,0.09,0.108,0.024,0.165,0,0,7,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_cdf81cf3a1312f53,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Reinforcment Learning/LayerSize/Single_machine_InputTypeSequance_Sequancelength250_LayerSize1024_batchsize150.CSV,0.1,10.0,948.553,0.095,0.091,0.105,0.021,0.296,0,0,43,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_d37cdfdd6611eb16,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/B200/Model_Size/LLM_B200_8GPU_Node_Lamma3B_SeqLength2048_Deepspeedds_z3_BatchSize16.csv,0.02,50.0,899.980111,0.019999,0.019824,0.020162,0.005949,0.137585,0,0,300,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_d571da6eb66a6e91,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Text Generation LLMs/H100/DeepSpeed_parallel_sitting/LLM_H100_8GPU_Node_Lamma8B_SeqLength2048_Deepspeedds_z2_BatchSize16.csv,0.02,50.0,899.979906,0.02,0.01999,0.020009,0.006585,0.188876,0,0,395,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_dc8fc99e1b00960f,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Text Generation/Sequance Length/Single_machine_SeqLen500_EmbedDim100_batchsize128.CSV,0.1,10.0,951.635,0.093,0.091,0.107,0.063,0.142,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_e2fbf4d475955276,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Model_size_impact/Image_generation_H100_8GPU_Node_ModelSize512_ImageSize32_BatchSize128.csv,0.02,50.0,899.979815,0.02,0.019987,0.020011,0.009664,0.091735,0,0,190,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_e3124c3636f22cba,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Text Generation/BatchSize/Single_machine_SeqLen100_EmbedDim100_batchsize128.CSV,0.1,10.0,949.754,0.093,0.09,0.107,0.076,0.12,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_f46587705b20ec65,B200_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/B200/Batch_size_impact/Image_generation_B200_8GPU_Node_ModelSize128_ImageSize32_BatchSize512.csv,0.02,50.0,899.979853,0.019999,0.019767,0.020219,0.006797,0.106639,0,0,159,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_f8f7f3674a6c8c15,H100_CONFIRMED,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Node_Dataset/Image Generation Diffusion Models/H100/Batch_size_impact/Image_generation_H100_8GPU_Node_ModelSize128_ImageSize32_BatchSize128.csv,0.02,50.0,899.979881,0.02,0.0191387,0.020021,0.009775,0.095077,0,0,361,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_fd142fca563362af,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Image Classifications/Batch Size/Single_machine_OptimizerAdam_NumFilter8_ImageSize112_batchsize2250.CSV,0.1,10.0,953.268,0.093,0.091,0.107,0.074,0.121,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
session_fed8f03d853e925e,NON_TARGET_RTX3060,High-resolution-AI-Data-Center-Training-Workloads-Dataset_FigShare/Single_Machine_Dataset/Feature Forecasting/Number of Layers/Single_machine_NumLayer10_SeqLength96_LayerSize500_batchsize100.CSV,0.1,10.0,948.253,0.093,0.09,0.1,0.061,0.132,0,0,0,delta > 1.5 * nominal interval,NATIVE_RAW_TIMESTAMP,c0ccebea568612f5445b70c3baa7ce659935a949e5cc8f345a0af907739fa6f3,daaab77dfa52a6805cda0352874431e02700bbce
