job_id,state_at_issue,workload_class,requested_GPUs,requested_nodes,requested_walltime_seconds,T_hat_point_seconds,T_hat_point_modeled_total_seconds,q90_plus_seconds,T_hat_safe_seconds,elapsed_seconds_at_issue,remaining_point_seconds,remaining_safe_seconds,point_covered,point_prediction_covered,safe_covered,covered,coverage_fallback_flag,missing_fields,model_version,model_id,model_source_HEAD,prediction_issue_time,requested_remaining_GPU_hours_at_issue,OLD_RS_predicted_release_slot,survival_category,elapsed_ge_requested,elapsed_gt_requested,requested_total_GPU_hours,OLD_RS_release_timestamp_AEST
7709217,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,1216.0,54906.3359375,60482.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.75,68,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T11:00:00+10:00
7709218,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,1216.0,54906.3359375,60482.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.75,68,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T11:00:00+10:00
7709219,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,1216.0,54906.3359375,60482.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.75,68,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T11:00:00+10:00
7709220,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,1216.0,54906.3359375,60482.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,35.75,68,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T11:00:00+10:00
7709221,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,893.0,55229.3359375,60805.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,36.0,68,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T11:00:00+10:00
7709222,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,893.0,55229.3359375,60805.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,36.0,68,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T11:00:00+10:00
7709223,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,893.0,55229.3359375,60805.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,36.0,68,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T11:00:00+10:00
7709224,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,571.0,55551.3359375,61127.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,36.0,68,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T11:00:00+10:00
7709225,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,571.0,55551.3359375,61127.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,36.0,68,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T11:00:00+10:00
7709226,RUNNING,RUNNING_FIXED,1.0,1,129600.0,56122.3359375,56122.3359375,5576.44921875,61698.78515625,231.0,55891.3359375,61467.78515625,True,True,True,True,CAUSAL_MODEL,,0.1.0,model.job_runtime_moe_xgboost,218d75f56b783ebfd698100f9406cfb46fa04c01,2025-03-31T18:00:00+10:00,36.0,69,A_ELAPSED_LT_POINT,False,False,36.0,2025-04-01T11:15:00+10:00
