case_id,site_id,P_peak_MW,PF_assumed,loading_fraction,S_required_MVA,standard_rating_MVA,rating_exceeds_required,REAL_DNSP_INTERFACE_MVA,authority
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC08,0.25659286567101647,0.95,0.9,0.3001086148199023,0.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC08,0.25659286567101647,0.98,0.8,0.3272868184579292,0.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC08,0.25659286567101647,0.98,0.9,0.29092161640704817,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC08,0.25659286567101647,1.0,0.8,0.32074108208877056,0.5,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC08,0.25659286567101647,1.0,0.9,0.28510318407890717,0.3,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC09,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC09,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC09,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC09,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC09,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC09,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC10,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC10,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC10,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC10,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC10,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC10,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC11,,0.95,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC11,,0.95,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC11,,0.98,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC11,,0.98,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC11,,1.0,0.8,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC11,,1.0,0.9,,,,,NOT_CALCULATED_OUTSIDE_STRICT_SUBSET
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC12,0.6158228776104396,0.95,0.8,0.8102932600137364,1.0,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC12,0.6158228776104396,0.95,0.9,0.7202606755677656,0.75,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC12,0.6158228776104396,0.98,0.8,0.7854883642990301,1.0,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC12,0.6158228776104396,0.98,0.9,0.6982118793769156,0.75,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC12,0.6158228776104396,1.0,0.8,0.7697785970130495,1.0,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
STRICT_SET_C_BUILT_CAPACITY_VS_HOST_NORMAL_MW,AIDC12,0.6158228776104396,1.0,0.9,0.6842476417893774,0.75,True,,IEEE123_EQUIVALENT_CASE_STUDY_INTERFACE
