date,A1_2_rho,M1_2_rho,A2_2_rho,M2_2_rho,A1_2_runtime_s,M1_2_runtime_s,A2_2_runtime_s,M2_2_runtime_s,A1_2_job_decision_changes,M1_2_route_changes,A2_2_job_decision_changes,M2_2_PQ_changes,A1_2_P1,A1_2_P2,A1_2_P3,A1_2_P4,A1_2_P5,A2_2_P1,A2_2_P2,A2_2_P3,A2_2_P4,A2_2_P5,A2_candidate_accepted,M2_candidate_accepted
2025-05-21,0.6977098319043665,0.6977098319043665,0.6977098319043665,0.6977098319043665,1942.602302312851,905.0323903000099,1935.0109283000056,37.6736112999788,3,0,0,0,0.6977098319043665,2232.1901988812115,8,74368,148278346,0.6977098319043665,2232.1901988812115,8,74368,148278346,true,true
2025-05-22,0.6853305688417649,0.6853305688417649,0.6853305688417649,0.6853305688417649,1946.0240297317505,905.4246618000034,1956.1511106000107,37.17709769998328,0,0,0,0,0.6853305688417649,1947.8610916292798,12,62138,144061803,0.6853305688417649,1947.8610916292798,12,62138,144061803,true,true
2025-05-23,0.6956261635289512,0.6956261635289512,0.6956261635289512,0.6956261635289512,1915.1052360534668,904.4140046999964,1911.5640709,39.968060100014554,0,0,0,0,0.6956261635289512,2467.125686353516,10,71128,89724622,0.6956261635289512,2467.125686353516,10,71128,89724622,true,true
2025-05-24,0.5615571864681537,0.5615571864681537,0.5615571864681537,0.5615571864681537,1880.5359237194061,903.8733925999841,1874.4632100000163,37.699705300008645,0,0,0,0,0.5615571864681537,2516.2551762142284,7,34386,16254738,0.5615571864681537,2516.2551762142284,7,34386,16254738,true,true
2025-05-25,0.5529253331274532,0.5529253331274532,0.5529253331274532,0.5529253331274532,1885.331403017044,902.2529074999911,1874.2354831999983,50.73562769999262,0,0,0,0,0.5529253331274532,1767.3633775049148,15,83720,12593851,0.5529253331274532,1767.3633775049148,15,83720,12593851,true,true
2025-05-26,0.5902188267689227,0.5902188267689227,0.5902188267689227,0.5902188267689227,1880.632440328598,903.4228291999898,1881.684093400021,37.84486169999582,0,0,0,0,0.5902188267689227,1695.5435864369822,16,79082,7825463,0.5902188267689227,1695.5435864369822,16,79082,7825463,true,true
2025-05-27,0.6499863901898176,0.6499863901898176,0.6499863688011839,0.6499863688011839,1875.0452361106873,903.25017449999,1868.6025068000017,37.33295909999288,0,0,4,0,0.6499863901898176,1762.8330412965956,19,71800,2094469,0.6499863688011839,1762.8330412965956,19,71800,2091737,true,true
2025-05-28,0.6632042184056764,0.6632042184056764,0.6632042184056764,0.6632042184056764,1885.4383685588837,905.1104556999926,1888.817072899983,43.46601410000585,0,0,0,0,0.6632042184056764,1662.5526177043405,12,38608,1312386,0.6632042184056764,1662.5526177043405,12,38608,1312386,true,true
2025-05-29,0.65991865379628,0.65991865379628,0.65991865379628,0.65991865379628,1884.6382541656494,903.7085923000122,1883.5218839000154,40.83758950000629,0,0,0,0,0.65991865379628,1218.015831253602,19,104800,3519127,0.65991865379628,1218.015831253602,19,104800,3519127,true,true
2025-05-30,0.6188662189537193,0.6188662189537193,0.6188662189537193,0.6188662189537193,1886.701111316681,902.1622636000102,1874.2322864000162,42.21856559999287,0,0,0,0,0.6188662189537193,609.7800551124294,12,17968,5355452,0.6188662189537193,609.7800551124294,12,17968,5355452,true,true
2025-05-31,0.5725636243716723,0.5725636243716723,0.5725636243716723,0.5725636243716723,1883.4102993011475,903.8738737999811,1871.1243204999773,37.76013109998894,0,0,0,0,0.5725636243716723,291.4302338387746,15,17948,5628140,0.5725636243716723,291.4302338387746,15,17948,5628140,true,true
